rki_field_id	migs-vi_field_id	migs-uvig_field_id	ncbi_virus_n_nucleotide_field_id	bv-brc_b_field_name	ena_erc32_field_name	ena_erc33_field_name	img/vr_field_name	phd_field_name	phispy_field_name	gtdb_field_name	ncbi_virus_n_field_description	ncbi_virus_n_type	ncbi_virus_n_curation_notes	bv-brc_b_category	bv-brc_b_schema_category	bv-brc_b_field_id	bv-brc_b_field_type	bv-brc_b_type	bv-brc_b_curation_notes	ena_erc32_field_description	ena_erc32_controlled_vocabulary	ena_erc32_field_type	ena_erc33_field_description	ena_erc33_controlled_vocabulary	ena_erc33_field_type	vjdb_example	ictv40_i_field_name
			Geo_Location	Geographic Location	geographic location (region and locality)	geographic location (region and locality)					"The geographic location where the virus was isolated. NCBI Virus relies solely on the information provided by submitters, which may sometimes mistakenly identify regions where sequences were processed instead of the actual collection locations. The granularity of the information displayed in the column depends on the submitter. For example, it can be ""Australia: Heron Island, Great Barrier Reef"", or just ""China"". The country and other geographic location names are based on the INSDC Geographic Location list."		split Geo_Location and compare to collection_country , ingest to collection_region and collection_city	Isolate Info	Isolation Metadata	geographic_location	string_ci			(Recommended) The geographical origin of the sample as defined by the specific region name followed by the locality name.			(Recommended) The geographical origin of the sample as defined by the specific region name followed by the locality name.		TEXT_FIELD	USA: NY 	
			Host	Host Common Name	host common name	host common name					The host organism from which the virus was isolated. This is the submitter-provided host organism, not the full host range known for the virus. For more information, see Glossary: Host.			Host Info		host_common_name	string_ci			(Mandatory) Common name of the host, e.g. human			(Mandatory) Common name of the host, e.g. human		TEXT_FIELD	human	
			Length	Size			sequence_length	sequence_length	sequence_length		Sequence length, the number of nucleotides or amino acids in the sequence.			Genome Statistics	Genome Statistics	genome_length	int									10201	
			Molecule_type								Genome molecule type, type of viral nucleic acid, as provided by ICTV. For more information, see Glossary: Genome Molecule Type.															ssRNA(+)	
			Nuc_Completeness								Indicates if the nucleotide sequence is complete or partial. Nucleotide sequences are considered complete, if they were submitted as such to GenBank or other INSDC databases. For more information, see Glossary: Nucleotide Completeness.															partial; complete	
																											
			Organism_Name					organism_name			Gen Bank organism name, a taxonomic name at species level or below the species level.															Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	
			Organization								Organization or institution the sequence submitters affiliated with, as well as country or location of the organization.		may need to split Organization to submitter_region													National Center for Biotechnology Information, NIH	
SEQUENCE. PUSHED_TO_DWH			Release_Date								The date when the sequence was released in the GenBank.															2023-05-20	
			Segment								Segment name or number representing a genome segment. For more information, see Clossary: Segment.															spike; 1; whole genome	
			SRA_Accession	SRA Accession							NCBI Sequence Read Archive (SRA) accession number.			DB Cross Reference		sra_accession	string										
			Submitters								Authors who submitted the sequences.															Zuckerman,N., Mandelboim,M.	
SEQUENCE. SAMPLE_TYPE; different vocabulary	env_medium? more or less		Tissue_Specimen_Source		isolation source host-associated	isolation source host-associated					Isolation source, part of the host organism, where the sample was obtained. For more information, see Glossary: Tissue/Specimen/Source.		split Tissue_Specimen_Source to collection_source_environment and collection_source_host_tissue							(Recommended) Name of host tissue or organ sampled for analysis. example: tracheal tissue			(Recommended) Name of host tissue or organ sampled for analysis. example: tracheal tissue		TEXT_FIELD	brain; water; venom gland	
			USA								The name of US state, if sample was collected in USA.		concatenate to collection_region													NY; FL	
																											
																											
																											
	assembly_software			Assembly Method										Sequence Info		assembly_method	string_ci		not in the bvbrc api								
																										clone or isolate	
				Genome ID										General Info		genome_id	string										
					collecting institution	collecting institution														(Mandatory) Name of the institution to which the person collecting the specimen belongs. format: institute name, institute address			(Mandatory) Name of the institution to which the person collecting the specimen belongs. format: institute name, institute address		TEXT_AREA_FIELD		
					host health state	host health state														(Mandatory) Health status of the host at the time of sample collection.			(Mandatory) Health status of the host at the time of sample collection.		TEXT_CHOICE_FIELD	diseased; healthy	
	lat_lon				geographic location (latitude)	geographic location (latitude)														(Recommended) The geographical origin of the sample as defined by latitude. the values should be reported in decimal degrees and in wgs84 system (Units: DD)			"(Recommended) The geographical origin of the sample as defined by latitude. the values should be reported in decimal degrees and in wgs84 system Units: 
"		TEXT_FIELD	-18.54; 68.277	
	lat_lon				geographic location (longitude)	geographic location (longitude)														(Recommended) The geographical origin of the sample as defined by longitude. the values should be reported in decimal degrees and in wgs84 system (Units: DD)			"(Recommended) The geographical origin of the sample as defined by longitude. the values should be reported in decimal degrees and in wgs84 system Units: 
"		TEXT_FIELD	-102.35; 22.6	
																										Asia	
	env_medium? more or less				isolation source non-host-associated	isolation source non-host-associated							split Tissue_Specimen_Source to collection_source_environment and collection_source_host_tissue							(Recommended) Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived. example: soil			(Recommended) Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived. example: soil		TEXT_FIELD		
					collector name	collector name														(Mandatory) Name of the person who collected the specimen. example: john smith			(Mandatory) Name of the person who collected the specimen. example: john smith		TEXT_AREA_FIELD	Zuckerman,N.	
					definition for seropositive sample	definition for seropositive sample														(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.			(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.		TEXT_FIELD		
																											
					host behaviour	host behaviour														(Recommended) Natural behaviour of the host.			(Recommended) Natural behaviour of the host.		TEXT_CHOICE_FIELD	domestic; wild	
																											
					host disease outcome	host disease outcome														(Recommended) Disease outcome in the host.			(Recommended) Disease outcome in the host.		TEXT_CHOICE_FIELD	recovered; dead	
																										fever; headache; runny_nose	
				Host Group										Host Info		host_group	string_ci									vertebrates; plants	
					host habitat	host habitat														(Recommended) Natural habitat of the avian or mammalian host.			(Recommended) Natural habitat of the avian or mammalian host.		TEXT_CHOICE_FIELD	domestic:free-range farm; wild:resident	
				Lab Host										Host Info		lab_host	string_ci		new								
	specific_host																										
	specific_host																										
	specific_host			Host Name	host scientific name	host scientific name								Host Info		host_name	string_ci		they are not all scientific names	(Mandatory) Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.			(Mandatory) Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.		TEXT_FIELD	homo sapiens	
	specific_host						host_ncbi_tax_id	host_ncbi_tax_id	host_ncbi_tax_id														(Optional) Scientific name of the laboratory host used to propagate the source organism from which the sample was obtained		TEXT_FIELD	9606	
				Host Gender	host sex	host sex								Host Info		host_gender	string_ci			(Mandatory) Gender or sex of the host.			(Mandatory) Gender or sex of the host.		TEXT_CHOICE_FIELD	female; hermaphrodite	
					host subject id	host subject id														(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131			(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131		TEXT_FIELD		
					influenza test method															(Mandatory) Method by which the current assessment of a sample as flu positive/negative is made. if multiple test were performed, please state them separated by semicolon. example: rt-pcr; antigen elisa						"""RT-PCR; antigen ELISA"""	
					influenza test result															(Mandatory) Classification of a sample as flu positive or negative based on the test performed and reported. if multiple tests were performed, please state the results in the same order in which you reported the tests in the field 'influenza test method'. format: p(ositive)/n(egative). example: p; p						"""P;P""; ""N""; ""N;P"""	
					influenza virus type															(Recommended) One of the three influenza virus classification types.						A; B; C	
																										true	
					other pathogens test result															(Mandatory) Classification of a sample as positive or negative based on the test performed and reported. if tests for multiple pathogenic organisms were performed, please state the results in the same order in which you reported the tests in the field 'other pathogens tested'. format: p(ositive)/n(egative)/not applicable. example: n						Newcastle; none	
					other pathogens tested															(Mandatory) Classification of pathogenic organisms other than influenza virus tested in the current assessment of a sample. if multiple tests were performed, please state them separated by semicolon. if no other pathogens test was performed, please state 'none'. example: newcastle						"""P;P""; N; ""N;not applicable"""	
PANGOLIN. LINEAGE_LATEST				Lineage										Type Info		lineage	string										
PANGOLIN. PANGOLIN_VERSION _LATEST																											
					receipt date	receipt date														(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.			(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.		TEXT_FIELD	2023-05-20	
SEQUENCE.ID																											
																											
	samp_taxon_id			NCBI Taxon ID	taxon_id	taxon_id	sample_ncbi_tax_id	sample_ncbi_tax_id	sample_ncbi_tax_id	ncbi_tax_id				Taxonomy Info	Taxonomy	taxon_id	int			(Mandatory) Ncbi taxonomy identifier. this is appropriate for individual organisms and some environmental samples.			(Mandatory) Ncbi taxonomy identifier. this is appropriate for individual organisms and some environmental samples.		TEXT_FIELD	197911	
	subspecf_gen_lin; broad field				serotype (required for a seropositive sample)	serotype (required for a seropositive sample)														(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1			(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1		TEXT_FIELD	H1N1	
																										HPV	Virus name abbreviation(s)
																											
				Sequencing Depth										Sequence Info		sequencing_depth	string_ci		average							12.0x	
				GC Content										Genome Statistics	Genome Statistics	gc_content	float									37.355248	
	compl_score; only half of the definition is used																										
	assembly_name			Genome Name										General Info		genome_name	string_ci		change name; keep private; compare to Organism Name from NCBI Virus								
	number_contig																									1;13	
	associated_resource																									10.1000/182	
	associated_resource			Publication										DB Cross Reference		publication	string		multiple; to curate (compare with the number of pubs with ncbi virus)								
				Date Modified										Additional Info		date_modified	pdate									2023-05-20	
SEQUENCE.VERSION																											
				Sequencing Center										Sequence Info		sequencing_centers	string_ci									US Food and Drug Administration	
					insert_size	insert_size														(Optional) Insert size for paired reads			(Optional) Insert size for paired reads		TEXT_FIELD		
	seq_meth				instrument_model	instrument_model														(Mandatory) Model of the sequencing instrument.			(Mandatory) Model of the sequencing instrument.		TEXT_CHOICE_FIELD	AB 310 Genetic Analyzer	
					library_construction_protocol	library_construction_protocol														(Optional) Free form text describing the protocol by which the sequencing library was constructed.			(Optional) Free form text describing the protocol by which the sequencing library was constructed.		TEXT_FIELD		
					design_description	design_description														(Mandatory) Goal and setup of the individual library including library was constructed.			(Optional) Goal and setup of the individual library including library was constructed.		TEXT_AREA_FIELD		
	lib_layout				library_layout	library_layout														(Mandatory) Library_layout specifies whether to expect single, paired, or other configuration of reads. in the case of paired reads, information about the relative distance and orientation is specified.			(Mandatory) Library_layout specifies whether to expect single, paired, or other configuration of reads. in the case of paired reads, information about the relative distance and orientation is specified.		TEXT_FIELD	SINGLE	
					library_name	library_name														(Optional) The submitter's name for this library.			(Optional) The submitter's name for this library.		TEXT_FIELD	1111898265709	
	lib_screen				library_selection	library_selection														(Mandatory) Method used to enrich the target in the sequence library preparation			(Mandatory) Method used to enrich the target in the sequence library preparation		TEXT_CHOICE_FIELD	unspecified; RANDOM	
					library_source	library_source														(Mandatory) The library_source specifies the type of source material that is being sequenced.			(Mandatory) The library_source specifies the type of source material that is being sequenced.		TEXT_CHOICE_FIELD	VIRAL RNA	
					library_strategy	library_strategy														(Mandatory) Sequencing technique intended for this library.			(Mandatory) Sequencing technique intended for this library.		TEXT_CHOICE_FIELD	AMPLICON	
SEQUENCE. SEQUENCING_METHOD				Sequencing Platform	platform	platform								Sequence Info		sequencing_platform	string_ci			(Mandatory) The platform record selects which sequencing platform and platform-specific runtime parameters. this will be determined by the center. optional if 'instrument_model' is provided.			(Mandatory) The platform record selects which sequencing platform and platform-specific runtime parameters. this will be determined by the center. optional if 'instrument_model' is provided.		TEXT_CHOICE_FIELD	CAPILLARY	
SEQUENCE. SEQUENCING_REASON; different vocabulary																											
																											
			Org_location																							Germany	
													may need to split Organization to submitter_region														
																										10580360	
																											
SEQUENCE. SEQUENCING_ LAB_SAMPLE_ID maybe					virus identifier	virus identifier														(Recommended) Unique laboratory identifier assigned to the virus by the investigator. strain name is not sufficient since it might not be unique due to various passsages of the same virus. format: up to 50 alphanumeric characters			(Recommended) Unique laboratory identifier assigned to the virus by the investigator. strain name is not sufficient since it might not be unique due to various passsages of the same virus. format: up to 50 alphanumeric characters		TEXT_FIELD		
					antiviral treatment															(Optional) Antiviral treatment used for this subject, such as zanamavir oseltamivir, amantadine. example: rimantadine						rimantadine; amantadine	
					antiviral treatment dosage															(Optional) Dosage of the treatment taken by the subject. example: 0.05 mg						0.05 mg	
					antiviral treatment duration															(Optional) Duration of antiviral treatment after onset of clinical symptoms in days.example: 5						5	
					antiviral treatment initiation															(Optional) Initiation of antiviral treatment after onset of clinical symptoms in days. example: 2.5						2.5	
					file_format	file_format														(Mandatory) The run data file model.			(Mandatory) The run data file model.		TEXT_CHOICE_FIELD		
					file_name	file_name														(Mandatory) The name or relative pathname of a run data file.			(Mandatory) The name or relative pathname of a run data file.		TEXT_FIELD		
					gravidity	gravidity														(Optional) Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.			(Optional) Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.		TEXT_FIELD	no: yes, post-conception date 2020-05-07	
					hospitalisation	hospitalisation														(Optional) Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?			(Optional) Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?		TEXT_CHOICE_FIELD	yes; no	
					host description	host description														(Optional) Other descriptive information relating to the host.			(Optional) Other descriptive information relating to the host.		TEXT_FIELD		
					illness duration	illness duration														(Optional) The number of days the illness lasted. example: 4			(Optional) The number of days the illness lasted. example: 4		TEXT_FIELD	4	
					illness onset date															(Optional) Date the subject showed an onset of symptoms. format: yyyy-mm-dd. example: 2011-10-20						2011-10-20	
					illness symptoms	illness symptoms														(Optional) The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.			(Optional) The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.		TEXT_AREA_FIELD	fever; headache; malaise; myalgia; nausea; runny_nose	
					influenza strain unique number															(Optional) Unique number of the strain which is reported as a part of the influenza strain name, such as a/chicken/fujian/411/2002(hxn1). format: integer number, example: 411						411	
					influenza vaccination date															(Optional) Date that the influenza vaccination was administered to the subject over the past year. format: yyyy-mm-dd. example: 2007-05-12						2007-05-12	
					influenza vaccination type															(Optional) Influenza vaccinations that have been administered to the subject over the last year. example: 2009 h1n1 flumist						2009 h1n1 flumist	
					influenza-like illness at the time of sample collection															(Optional) Is the subject at the time of sample collection considered to have influenza like illness?						yes; no	
					inoculation dose															(Optional) Dose used for the inoculoation experiment.							
					inoculation route															(Optional) Brief description of the protocol inoculation route.							
					inoculation stock availability															(Optional) Is the virus stock used for the inoculation available?							
					lineage:swl (required for H1N1 viruses)															(Optional) Does the h1n1 influenza virus originate from a swine-like outbreak (as opposed to a seasonal flu)?							
					meaning of cut off value															(Optional) Description helping to explain what the cut off value means.							
					number of inoculated individuals															(Optional) Number of host individuals inoculated for the experiment.						5	
					personal protective equipment	personal protective equipment														(Optional) Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask			(Optional) Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask		TEXT_FIELD	mask	
					sample capture status	sample capture status														(Recommended) Reason for the sample collection.			(Recommended) Reason for the sample collection.		TEXT_CHOICE_FIELD	active surveillance in response to outbreak; market sample	
					sample storage conditions	sample storage conditions														(Optional) Conditions at which sample was stored, usually storage temperature, duration and location. in soil context: explain how and for how long the soil sample was stored before dna extraction (fresh/frozen/other).			(Optional) Conditions at which sample was stored, usually storage temperature, duration and location		TEXT_FIELD		
					sample_description	sample_description														(Optional) Free-form text describing the sample, its origin, and its method of isolation.			(Optional) Free-form text describing the sample, its origin, and its method of isolation.		TEXT_AREA_FIELD		
					source of vaccination information															(Optional) Designation of information related to vaccination history as self reported or documented.						decoumented; self reported	
				Strain	strain	strain										strain				(Optional) Name of the strain from which the sample was obtained.			(Optional) Name of the strain from which the sample was obtained.		TEXT_FIELD		
					study_abstract	study_abstract														(Optional) Briefly describes the goals, purpose, and scope of the study. this need not be listed if it can be inherited from a referenced publication.			(Optional) Briefly describes the goals, purpose, and scope of the study. this need not be listed if it can be inherited from a referenced publication.		TEXT_AREA_FIELD		
					subject exposure	subject exposure														(Optional) Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. if multiple exposures are applicable, please state them separated by semicolon. example: poultry; wild bird			(Optional) Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. if multiple exposures are applicable, please state them separated by semicolon. example: poultry; wild bird		TEXT_FIELD	poultry; wild  bird	
					subject exposure duration	subject exposure duration														(Optional) Duration of the exposure of the subject to an infected human or animal. if multiple exposures are applicable, please state their duration in the same order in which you reported the exposure in the field 'subject exposure'. example: 1 day; 0.33 days (Units: year)			(Optional) Duration of the exposure of the subject to an infected human or animal. if multiple exposures are applicable, please state their duration in the same order in which you reported the exposure in the field 'subject exposure'. example: 1 day; 0.33 days		TEXT_FIELD	1 day; 0.33 days 	
					title	title														(Mandatory) Title of the study as would be used in a publication.			(Mandatory) Title of the study as would be used in a publication.		TEXT_FIELD		
					title	title														(Mandatory) Short text that can be used to call out experiment records in searches or in displays. this element is technically optional but should be used for all new records.			(Optional) Short text that can be used to call out experiment records in searches or in displays. this element is technically optional but should be used for all new records.		TEXT_FIELD		
					title	title														(Mandatory) Short text that can be used to call out sample records in search results or in displays.			(Mandatory) Short text that can be used to call out sample records in search results or in displays.		TEXT_FIELD		
					type exposure	type exposure														(Optional) Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation			(Optional) Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation		TEXT_FIELD	backyard flock; confined animal feeding operation	
					vaccine dosage															(Optional) Dosage of the vaccine taken by the subject. example: 0.05 ml						0.05 ml	
					vaccine lot number															(Optional) Lot number of the vaccine.							
					vaccine manufacturer															(Optional) Manufacturer of the vaccine.							
					WHO/OIE/FAO clade (required for HPAI H5N1 viruses)															(Optional) Who/oie/fao clade should be included for highly pathogenic h5n1 viruses. example: 2.2						2.2	
																											
																											
																											
																											
																											
							ictv_realm	ictv_realm	ictv_realm																		Realm
								ictv_subrealm																			Subrealm
							ictv_kingdom	ictv_kingdom	ictv_kingdom																		Kingdom
								ictv_subkingdom																			Subkingdom
							ictv_phylum	ictv_phylum	ictv_phylum																		Phylum
								ictv_subphylum																			Subphylum
							ictv_class	ictv_class	ictv_class																		Class
								ictv_subclass																			Subclass
							ictv_order	ictv_order	ictv_order																		Order
								ictv_suborder																			Suborder
							ictv_family	ictv_family	ictv_family																		Family
								ictv_subfamily																			Subfamily
							ictv_genus	ictv_genus	ictv_genus																		Genus
								ictv_subgenus																			Subgenus
							ictv_species	ictv_species	ictv_species																		Species
								ncbi_realm																			
								ncbi_subrealm																			
				Kingdom				ncbi_kingdom					Taxonomy Info	Taxonomy	kingdom	string_ci											
								ncbi_subkingdom																			
				Phylum				ncbi_phylum					Taxonomy Info	Taxonomy	phylum	string_ci											
								ncbi_subphylum																			
				Class				ncbi_class					Taxonomy Info	Taxonomy	class	string_ci											
								ncbi_subclass																			
				Order				ncbi_order					Taxonomy Info	Taxonomy	order	string_ci											
								ncbi_suborder																			
			Family	Family				ncbi_family			Family name, as identified by NCBI Taxonomy.			Taxonomy Info	Taxonomy	family	string_ci										
								ncbi_subfamily																			
			Genus	Genus				ncbi_genus			Genus name, as identified by NCBI Taxonomy.			Taxonomy Info	Taxonomy	genus	string_ci										
								ncbi_subgenus																			
			Species	Species				ncbi_species			Species name, as defined by NCBI Taxonomy.			Taxonomy Info	Taxonomy	species	string_ci										
	subspecf_gen_lin; broad field		Genotype								"In the NCBI Virus database, the term ""Genotype"" refers to the genotype or subtype of a viral sequence, as provided by the sequence submitter. This information is displayed in the Genotype column of the Results Table and can also be used as a filter to refine search results.

The genotype information is parsed from the ""/serotype"" field of the GenBank record and is shown exactly as it was submitted by the sequence submitter. The presence, accuracy, and consistency of genotype data may vary between records, as it is not a mandatory field in the GenBank submission process."																
			Isolate		isolate	isolate					"Isolate or strain name from the ""/isolate"" field of GenBank record. For more information, see Glossary: Isolate."												(Mandatory) Individual isolate from which the sample was obtained		TEXT_FIELD		
																										37	
																										days; years	
																											
				Host Age	host age	host age								Host Info		host_age	string_ci			(Recommended) Age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees (Units: years)			"(Recommended) Age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees Units: 
"		TEXT_FIELD	37 years	
																											
				Taxon Lineage IDs										Taxonomy Info	Taxonomy	taxon_lineage_ids	string		add; we will add NCBI Tax Names from the NCBI Taxonomy DB later								
				Taxon Lineage Names									Taxonomy Info	Taxonomy	taxon_lineage_names	string											
																											
																											
																											
																											Host source
																											ICTV_ID
																											Virus name(s)
				Host Age										Host Info		host_age	string_ci										
																											
																											
																											
																											
							host_gtdb_species	host_gtdb_species	host_gtdb_species	gtdb_species																	
																											
																											
																											
																											
																											
																											
																											
							host_assembly_accession_id		host_assembly_accession_id																		
							host_insdc_accession_id		host_insdc_accession_id																		
							host_assembly_program		host_assembly_program																		
							host_bioproject_accession_id		host_bioproject_accession_id																		
							host_biosample_accession_id		host_biosample_accession_id																		
							host_collection_country		host_collection_country																	Germany	
							host_collection_date		host_collection_date																	2023-05-23	
							host_imgvr_taxon_oid																				
							phage_id	phage_id	phage_id																		
							host_sequence_average_depth_coverage		host_sequence_average_depth_coverage																	12.0x	
							host_sequencing_platform		host_sequencing_platform																	CAPILLARY	
																											
																											
																											
																											
																											
							imgvr_uvig_id																				
