vjdbv1.0_field_index	vjdbv1.0_field_id	vjdbv1.0_name	vjdbv1.0_description	vjdbv1.0_fields_type	vjdbv1.0_privacy	vjdbv0.2__field_id	vjdbv0.1_field_id	ena_field_id	rki_field_id	migs-vi_field_id	migs-uvig_field_id	env-o_field_id	ncbi_virus_n_nucleotide_field_id	bv-brc_b_field_name	ena_erc32_field_name	ena_erc33_field_name	img/vr_field_name	phd_field_name	phispy_field_name	gtdb_field_name	ena_submission_object_object_name	vjbd_submission_object_object_name	vjdbv1.0_group1	vjdbv1.0_group2	vjdbv1.0_group3	vjdbv1.0_tags	vjdbv1.0_input_source	vjdbv1.0_notes	vjdbv1.0_changes	vjdbv0.2_previous_changes	ncbi_virus_n_field_name	ncbi_virus_n_field_description	ncbi_virus_n_type	ncbi_virus_n_curation_notes	bv-brc_b_category	bv-brc_b_schema_category	bv-brc_b_field_id	bv-brc_b_field_type	bv-brc_b_type	bv-brc_b_curation_notes	ena_erc32_field_description	ena_erc32_controlled_vocabulary	ena_erc32_field_type	ena_erc33_field_description	ena_erc33_controlled_vocabulary	ena_erc33_field_type	ena_submission_requiredness	vjdb_submission_requiredness	vjdb_example	vjdb_validation_rules	ena_submission_fieldtype	ena_submission_validation	ictv40_i_field_name	vjdbv1.0_index	vjdbv1.0_search_method	vjdbv1.0_default_search
0bj	collection_source_environment	Collection Source Environment	Describes the physical, environmental or local geographical source of the sample, e.g. soil	text	internal	collection_source_environment	host_tissue	isolation source non-host-associated		env_medium? more or less					isolation source non-host-associated	isolation source non-host-associated					ENA Sample	VJDB Sample	Sample	Collection		"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Collection""]"		as it is, for revision with data; not sure	collection_source_non-host_associated					split Tissue_Specimen_Source to collection_source_environment and collection_source_host_tissue							(Recommended) Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived. example: soil			(Recommended) Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived. example: soil		TEXT_FIELD	recommended	recommended			suggestion	freetext		metadata	full fuzzy	
0bk	collector_name	Collector Name	Name of the person that collected the sample	text	internal	collector_name		collector name							collector name	collector name					ENA Sample	VJDB Sample	Sample	Collection		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Collection""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Name of the person who collected the specimen. example: john smith			(Mandatory) Name of the person who collected the specimen. example: john smith		TEXT_AREA_FIELD	mandatory	mandatory	Zuckerman,N.	Free text	text	freetext		metadata	full fuzzy	
0bl	cutoff_for_seropositive_sample	Cutoff for Seropositive Sample	The cuttoff used to determine if the sample is seropositive.	keyword	internal	cutoff_for_seropositive_sample		definition for seropositive sample							definition for seropositive sample	definition for seropositive sample					ENA Sample	VJDB Sample	Sample	Clinical		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.			(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.		TEXT_FIELD	recommended	recommended			text	freetext		metadata	exact	
0bm	experiment_accession	Experiment Accession	References an ENA assembly to an ENA Experiment.	keyword	internal	experiment_accession_id		experiment accession?															Organizational	Identifiers		"[""ENA"", ""Organizational"", ""Identifiers""]"		no example needed	keep internally	Not in VJDB, Completly new due to byCovid																					text	unique		metadata	exact	
0bn	host_behaviour	Host Behaviour	Natural behaviour of the sampled host.	keyword	internal	host_behaviour		host behaviour							host behaviour	host behaviour					ENA Sample	VJDB Sample	Host	Clinical		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Host"", ""ENA Sample"", ""VJDB Sample"", ""Clinical""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) Natural behaviour of the host.			(Recommended) Natural behaviour of the host.		TEXT_CHOICE_FIELD	recommended	recommended	domestic; wild	Defined list of values, provided by the ENA	combo	controlled_vocabulary		metadata	exact fuzzy	
0bo	host_disease	Host Disease	The hosts main disease diagnosis.	text	internal	host_disease	disease																Host	Clinical		"[""Host"", ""Clinical""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid																					text	freetext		metadata	exact fuzzy	
0bp	host_disease_outcome	Host Disease Outcome	The hosts disease outcome. Did the host recover from the disease?	text	internal	host_disease_outcome		host disease outcome							host disease outcome	host disease outcome					ENA Sample	VJDB Sample	Host	Clinical		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Host"", ""ENA Sample"", ""VJDB Sample"", ""Clinical""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) Disease outcome in the host.			(Recommended) Disease outcome in the host.		TEXT_CHOICE_FIELD	recommended	recommended	recovered; dead	Defined list of values, provided by the ENA	combo	controlled_vocabulary		metadata	exact fuzzy	
0bq	host_disease_symptoms	Host Disease Symptoms	The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. If multiple exposures are applicable, please state them separated by semicolon.	text	internal	host_disease_symptoms		illness symptoms															Host	Clinical		"[""ENA"", ""Host"", ""Clinical""]"			keep internally	Not in VJDB, Completly new due to byCovid																	optional	optional	fever; headache; runny_nose	Free text	suggestion	unique		metadata	exact fuzzy	
0bs	host_habitat	Host Habitat	Natural habitat of the avian or mammalian host	text	internal	host_habitat		host habitat							host habitat	host habitat					ENA Sample	VJDB Sample	Host	Collection		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Host"", ""ENA Sample"", ""VJDB Sample"", ""Collection""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) Natural habitat of the avian or mammalian host.			(Recommended) Natural habitat of the avian or mammalian host.		TEXT_CHOICE_FIELD	recommended	recommended	domestic:free-range farm; wild:resident	Defined list of values, provided by the ENA	combo	controlled_vocabulary		metadata	exact fuzzy	
0bz	host_subject_id	Host Subject ID	The unique ID of the sampled host from the BV-BRC.	keyword	internal	host_subject_id		host subject id							host subject id	host subject id					ENA Sample	VJDB Sample	Host	Clinical 		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Host"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131			(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131		TEXT_FIELD	mandatory	mandatory			suggestion	freetext		metadata	exact	
0ca	influenza_test_method	Influenza Test Method	Method used to assess if a sample is flu positive/negative. Multiple methods are seperated by semicolon(s).	text	internal	influenza_test_method		influenza test method							influenza test method						ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""ENA ERC32"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Method by which the current assessment of a sample as flu positive/negative is made. if multiple test were performed, please state them separated by semicolon. example: rt-pcr; antigen elisa						mandatory	mandatory	"""RT-PCR; antigen ELISA"""	Free text (Methods) seperated by semicolon, no quotes	suggestion	unique		metadata	full fuzzy	
0cb	influenza_test_result	Influenza Test Result	Result of the given methods. Positive(P) or Negative(N). For multiple test the results are delimited by semicolon, e.g. P; P.	keyword	internal	influenza_test_result		influenza test result							influenza test result						ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""ENA ERC32"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Classification of a sample as flu positive or negative based on the test performed and reported. if multiple tests were performed, please state the results in the same order in which you reported the tests in the field 'influenza test method'. format: p(ositive)/n(egative). example: p; p						mandatory	mandatory	"""P;P""; ""N""; ""N;P"""	P(positive)/N(negative) divided by semicolons matching the number and place of the corresponding test method, no quotes.	suggestion	unique		metadata	exact	
0cc	influenza_virus_type	Influenza Virus Type	Influenza virus type classification: A, B or C.	keyword	internal	influenza_virus_type	variant	influenza virus type							influenza virus type						ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""ENA ERC32"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) One of the three influenza virus classification types.						recommended	recommended	A; B; C	Defined list of values, provided by the ENA	combo	controlled_vocabulary		metadata	exact fuzzy	
0ce	other_pathogens_test_result	Other Pathogens Test Result	The test result for other tested pathogens given as described by influenza test result.	keyword	internal	other_pathogens_test_result		other pathogens test result							other pathogens test result						ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""ENA ERC32"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Classification of a sample as positive or negative based on the test performed and reported. if tests for multiple pathogenic organisms were performed, please state the results in the same order in which you reported the tests in the field 'other pathogens tested'. format: p(ositive)/n(egative)/not applicable. example: n						mandatory	mandatory	Newcastle; none	Free text (Methods) seperated by semicolon, no quotes. See also Influenza Test Method	suggestion	unique		metadata	full fuzzy	
0cf	other_pathogens_tested	Other Pathogens Tested	Was the sample tested for other pathogens? Insert the pathogenic organisms using semicolon as a delimiter, e.g. Newcastle. “None” is also valid.	keyword	internal	other_pathogens_tested		other pathogens tested							other pathogens tested						ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""ENA ERC32"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Classification of pathogenic organisms other than influenza virus tested in the current assessment of a sample. if multiple tests were performed, please state them separated by semicolon. if no other pathogens test was performed, please state 'none'. example: newcastle						mandatory	mandatory	"""P;P""; N; ""N;not applicable"""	P(positive)/N(negative)/not applicable divided by semicolons matching the number and place of the corresponding test method, no quotes.	suggestion	unique		metadata	exact	
0ch	pangolin_version	Pangolin Version	Pangolin version used to determine the lineage.	keyword	internal	pangolin_version			PANGOLIN. PANGOLIN_VERSION _LATEST														Analysis		Workflows	"[""RKI"", ""Analysis"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid																					suggestion	freetext		metadata	exact	
0ci	receipt_date	Receipt Date	If the sample was only received and not collected provide the receipt date.	date	internal	receipt_date		receipt date							receipt date	receipt date					ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.			(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.		TEXT_FIELD	recommended	recommended	2023-05-20	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext		metadata	range	
0cj	rki_accession	RKI Accession	RKI Accession of the virus sequence.	keyword	internal	rki_sequence_id			SEQUENCE.ID														Organizational	Identifiers		"[""RKI"", ""Organizational"", ""Identifiers""]"		no example needed	remove	Not in VJDB, Completly new due to byCovid																					text	freetext		metadata	exact	
0ck	run_accession	Run Accession	References a ENA assembly to an ENA Run object.	keyword	internal	run_accession_id		run ref															Organizational	Identifiers		"[""ENA"", ""Organizational"", ""Identifiers""]"		no example needed	keep internally	Not in VJDB, Completly new due to byCovid																	recommended	recommended			text	unique		metadata	exact	
0cm	serotype	Serotype	Serological variety of a species characterised by its antigenic properties, e.g. H1N1.	keyword	internal	sample_serotype	variant	serotype		subspecf_gen_lin; broad field					serotype (required for a seropositive sample)	serotype (required for a seropositive sample)					ENA Sample	VJDB Sample	Sample	Clinical		"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical""]"		NCBI Virus has genotype, which includes Serotype, otherwise we have no valid informational source -> internal for now; 	keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1			(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1		TEXT_FIELD	recommended	recommended	H1N1	Free text	suggestion	freetext		metadata	full fuzzy	
0cn	abbreviation	Abbreviation	Common abbreviations of the virus species name.	text	internal	sample_species_name_abbreviation	abbreviation																Sample	Virus Info	ICTV Taxonomy	"[""Sample"", ""Virus Info"", ""ICTV Taxonomy""]"	ICTV		tbd																				HPV	Free text, common virus name abbreviations were collected by the ICTV	suggestion	freetext	Virus name abbreviation(s)	metadata | taxonomy	exact	default search
0co	sample_species_tax_id	Sample Species Tax ID	Temporary NCBI Tax ID used for mapping the taxonomy tree to the metadata table.	keyword	internal	sample_species_tax_id	tree_rank_txid																Sample	Identifiers	NCBI Taxonomy	"[""Sample"", ""Identifiers"", ""NCBI Taxonomy""]"	NCBI Taxonomy	No mapping, seems to  be NCBI Tax ID; not sure	tbd																						suggestion	freetext		metadata	no search	
0cs	sequence_name	Sequence Name	Generic name of the sequence (Name of the entry).	text	internal	sequence_name	sample_name			assembly_name				Genome Name									Analysis		Workflows	"[""MIGS-VI"", ""BV-BRC"", ""Analysis"", ""Workflows""]"	BVBRC	no example needed	change to BVBRC_genome_name						General Info		genome_name	string_ci		change name; keep private; compare to Organism Name from NCBI Virus											text	freetext		metadata	full	default search
0cu	publication_doi	Publication DOI	The DOI of the publication associated with the sequence.	keyword	internal	sequence_publication_doi	publication_doi			associated_resource													Organizational	Identifiers		"[""MIGS-VI"", ""Organizational"", ""Identifiers""]"	no source	needs curation before public; 	remove	Not public in VJDB, but is already in database																			10.1000/182		text	freetext		metadata	exact	
0cv	pubmed_accession	Pubmed Accession	The PubMed ID of publication associated with the sequence.	keyword	internal	sequence_pubmed_id	pmid			associated_resource				Publication									Organizational	Identifiers		"[""MIGS-VI"", ""BV-BRC"", ""Organizational"", ""Identifiers""]"	BVBRC	needs curation before public; no example needed							DB Cross Reference		publication	string		multiple; to curate (compare with the number of pubs with ncbi virus)											text	freetext		metadata	exact	
0cw	update_date	Update Date	Last update date of the sequence in BVBRC (whole entry).	date	internal	sequence_update_date	update_date							Date Modified									Organizational		Workflows	"[""BV-BRC"", ""Organizational"", ""Workflows""]"	BVBRC		update definition: last update date of the record in bvbrc)	Not public in VJDB, but is already in database					Additional Info		date_modified	pdate											2023-05-20	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext		metadata	range	
0cz	insert_size	Insert Size	Insert size for paired reads.	keyword	internal	sequencing_insert_size		insert size							insert_size	insert_size					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid											(Optional) Insert size for paired reads			(Optional) Insert size for paired reads		TEXT_FIELD	optional	optional			text	freetext		metadata	range	
0da	instrument	Instrument	Instrument model used for sequencing.	keyword	internal	sequencing_instrument		instrument model		seq_meth					instrument_model	instrument_model					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Model of the sequencing instrument.			(Mandatory) Model of the sequencing instrument.		TEXT_CHOICE_FIELD	mandatory	mandatory	AB 310 Genetic Analyzer	Defined list of values, provided by the ENA	combo	controlled_vocabulary		metadata	exact fuzzy	
0db	library_construction_protocol	Library Construction Protocol	The protocol used to construct the sequencing library.	text	internal	sequencing_library_construction_protocol		library construction protocol							library_construction_protocol	library_construction_protocol					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid											(Optional) Free form text describing the protocol by which the sequencing library was constructed.			(Optional) Free form text describing the protocol by which the sequencing library was constructed.		TEXT_FIELD	optional	optional		Free text	text	freetext		metadata	full fuzzy	
0dc	library_description	Library Description	The design of the sequencing library including details of how it was constructed.	text	internal	sequencing_library_description		design_description							design_description	design_description					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Goal and setup of the individual library including library was constructed.			(Optional) Goal and setup of the individual library including library was constructed.		TEXT_AREA_FIELD	optional	optional		Free text	text	freetext		metadata	full fuzzy	
0dd	library_layout	Library Layout	The sequencing library layout specifies whether to expect single or paired configuration of reads.	keyword	internal	sequencing_library_layout		library_layout		lib_layout					library_layout	library_layout					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Library_layout specifies whether to expect single, paired, or other configuration of reads. in the case of paired reads, information about the relative distance and orientation is specified.			(Mandatory) Library_layout specifies whether to expect single, paired, or other configuration of reads. in the case of paired reads, information about the relative distance and orientation is specified.		TEXT_FIELD	mandatory	mandatory	SINGLE	Defined list of values, provided by the ENA	combo	controlled_vocabulary		metadata	exact fuzzy	
0de	library_name	Library Name	The name for the sequencing library if any.	text	internal	sequencing_library_name		library name							library_name	library_name					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Optional) The submitter's name for this library.			(Optional) The submitter's name for this library.		TEXT_FIELD	mandatory	mandatory	1111898265709	Free text	suggestion	freetext		metadata	full fuzzy	
0df	library_selection	Library Selection	The method used to select for or against, enrich, or screen the material being sequenced.	text	internal	sequencing_library_selection		library selection		lib_screen					library_selection	library_selection					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Method used to enrich the target in the sequence library preparation			(Mandatory) Method used to enrich the target in the sequence library preparation		TEXT_CHOICE_FIELD	mandatory	mandatory	unspecified; RANDOM	Defined list of values, provided by the ENA	combo	controlled_vocabulary		metadata	exact fuzzy	
0dg	library_source	Library Source	The library source specifies the type of source material that is being sequenced.	keyword	internal	sequencing_library_source		library source							library_source	library_source					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) The library_source specifies the type of source material that is being sequenced.			(Mandatory) The library_source specifies the type of source material that is being sequenced.		TEXT_CHOICE_FIELD	mandatory	mandatory	VIRAL RNA	Defined list of values, provided by the ENA	combo	controlled_vocabulary		metadata	exact fuzzy	
0dh	library_strategy	Library Strategy	The sequencing technique intended for this sequencing library.	keyword	internal	sequencing_library_strategy	strategy?	library strategy							library_strategy	library_strategy					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Sequencing technique intended for this library.			(Mandatory) Sequencing technique intended for this library.		TEXT_CHOICE_FIELD	mandatory	mandatory	AMPLICON	Defined list of values, provided by the ENA	combo	controlled_vocabulary		metadata	exact fuzzy	
