vjdbv1.0_field_id	vjdbv1.0_name	vjdbv1.0_description	vjdbv1.0_fields_type	vjdbv1.0_tags	vjdbv1.0_input_source	vjdbv1.0_notes	vjdbv1.0_changes	vjdb_example	ictv40_i_field_name
collection_source_environment	Collection Source Environment	Describes the physical, environmental or local geographical source of the sample, e.g. soil	text	['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']	N/A	as it is, for revision with data; not sure	collection_source_non-host_associated	N/A	N/A
collector_name	Collector Name	Name of the person that collected the sample	text	['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']	N/A	N/A	keep internally	Zuckerman,N.	N/A
cutoff_for_seropositive_sample	Cutoff for Seropositive Sample	The cuttoff used to determine if the sample is seropositive.	keyword	['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical']	N/A	not sure	keep internally	N/A	N/A
experiment_accession	Experiment Accession	References an ENA assembly to an ENA Experiment.	keyword	['ENA', 'Organizational', 'Identifiers']	N/A	no example needed	keep internally	N/A	N/A
host_behaviour	Host Behaviour	Natural behaviour of the sampled host.	text	['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']	N/A	N/A	keep internally	domestic; wild	N/A
host_disease	Host Disease	The hosts main disease diagnosis.	text	['Host', 'Clinical']	N/A	not sure	keep internally	N/A	N/A
host_disease_outcome	Host Disease Outcome	The hosts disease outcome. Did the host recover from the disease?	text	['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']	N/A	N/A	keep internally	recovered; dead	N/A
host_disease_symptoms	Host Disease Symptoms	The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. If multiple exposures are applicable, please state them separated by semicolon.	text	['ENA', 'Host', 'Clinical']	N/A	N/A	keep internally	fever; headache; runny_nose	N/A
host_habitat	Host Habitat	Natural habitat of the avian or mammalian host	text	['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Collection']	N/A	N/A	keep internally	domestic:free-range farm; wild:resident	N/A
host_subject_id	Host Subject ID	The unique ID of the sampled host from the BV-BRC.	keyword	['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	not sure	keep internally	N/A	N/A
influenza_test_method	Influenza Test Method	Method used to assess if a sample is flu positive/negative. Multiple methods are seperated by semicolon(s).	text	['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	keep internally	"""RT-PCR; antigen ELISA"""	N/A
influenza_test_result	Influenza Test Result	Result of the given methods. Positive(P) or Negative(N). For multiple test the results are delimited by semicolon, e.g. P; P.	keyword	['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	keep internally	"""P;P""; ""N""; ""N;P"""	N/A
influenza_virus_type	Influenza Virus Type	Influenza virus type classification: A, B or C.	keyword	['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	keep internally	A; B; C	N/A
other_pathogens_test_result	Other Pathogens Test Result	The test result for other tested pathogens given as described by influenza test result.	keyword	['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	keep internally	Newcastle; none	N/A
other_pathogens_tested	Other Pathogens Tested	Was the sample tested for other pathogens? Insert the pathogenic organisms using semicolon as a delimiter, e.g. Newcastle. “None” is also valid.	keyword	['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	keep internally	"""P;P""; N; ""N;not applicable"""	N/A
pangolin_version	Pangolin Version	Pangolin version used to determine the lineage.	keyword	['RKI', 'Analysis', 'Workflows']	N/A	N/A	keep internally	N/A	N/A
receipt_date	Receipt Date	If the sample was only received and not collected provide the receipt date.	date	['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	keep internally	2023-05-20	N/A
rki_accession	RKI Accession	RKI Accession of the virus sequence.	keyword	['RKI', 'Organizational', 'Identifiers']	N/A	no example needed	remove	N/A	N/A
run_accession	Run Accession	References a ENA assembly to an ENA Run object.	keyword	['ENA', 'Organizational', 'Identifiers']	N/A	no example needed	keep internally	N/A	N/A
serotype	Serotype	Serological variety of a species characterised by its antigenic properties, e.g. H1N1.	text	['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical']	N/A	NCBI Virus has genotype, which includes Serotype, otherwise we have no valid informational source -> internal for now; 	keep internally	H1N1	N/A
abbreviation	Abbreviation	Common abbreviations of the virus species name.	keyword	['Sample', 'Virus Info', 'ICTV Taxonomy']	ICTV	N/A	tbd	HPV	Virus name abbreviation(s)
sample_species_tax_id	Sample Species Tax ID	Temporary NCBI Tax ID used for mapping the taxonomy tree to the metadata table.	keyword	['Sample', 'Identifiers', 'NCBI Taxonomy']	NCBI Taxonomy	No mapping, seems to  be NCBI Tax ID; not sure	tbd	N/A	N/A
sequence_name	Sequence Name	Generic name of the sequence (Name of the entry).	text	['MIGS-VI', 'BV-BRC', 'Analysis', 'Workflows']	BVBRC	no example needed	change to BVBRC_genome_name	N/A	N/A
publication_doi	Publication DOI	The DOI of the publication associated with the sequence.	keyword	['MIGS-VI', 'Organizational', 'Identifiers']	no source	needs curation before public; 	remove	10.1000/182	N/A
pubmed_accession	Pubmed Accession	The PubMed ID of publication associated with the sequence.	keyword	['MIGS-VI', 'BV-BRC', 'Organizational', 'Identifiers']	BVBRC	needs curation before public; no example needed	N/A	N/A	N/A
update_date	Update Date	Last update date of the sequence in BVBRC (whole entry).	date	['BV-BRC', 'Organizational', 'Workflows']	BVBRC	N/A	update definition: last update date of the record in bvbrc)	2023-05-20	N/A
insert_size	Insert Size	Insert size for paired reads.	keyword	['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']	N/A	not sure	keep internally	N/A	N/A
instrument	Instrument	Instrument model used for sequencing.	text	['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']	N/A	N/A	keep internally	AB 310 Genetic Analyzer	N/A
library_construction_protocol	Library Construction Protocol	The protocol used to construct the sequencing library.	text	['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']	N/A	not sure	keep internally	N/A	N/A
library_description	Library Description	The design of the sequencing library including details of how it was constructed.	text	['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']	N/A	not sure	keep internally	N/A	N/A
library_layout	Library Layout	The sequencing library layout specifies whether to expect single or paired configuration of reads.	keyword	['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']	N/A	N/A	keep internally	SINGLE	N/A
library_name	Library Name	The name for the sequencing library if any.	text	['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']	N/A	N/A	keep internally	1111898265709	N/A
library_selection	Library Selection	The method used to select for or against, enrich, or screen the material being sequenced.	keyword	['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']	N/A	N/A	keep internally	unspecified; RANDOM	N/A
library_source	Library Source	The library source specifies the type of source material that is being sequenced.	keyword	['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']	N/A	N/A	keep internally	VIRAL RNA	N/A
library_strategy	Library Strategy	The sequencing technique intended for this sequencing library.	keyword	['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']	N/A	N/A	keep internally	AMPLICON	N/A
virus_id	Virus ID	Unique ID given by the investigator as strain might not be unique.	keyword	['ENA', 'RKI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	not sure	keep internally	N/A	N/A
antiviral_treatment	Antiviral Treatment	Antiviral treatment used for this subject, such as zanamavir oseltamivir, amantadine.	keyword	['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	rimantadine; amantadine	N/A
antiviral_treatment_dosage	Antiviral Treatment Dosage	Dosage of the treatment taken by the subject. example: 0.05 mg.	float	['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	0.05 mg	N/A
antiviral_treatment_duration	Antiviral Treatment Duration	Duration of antiviral treatment after onset of clinical symptoms in days.example: 5.	integer	['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	5	N/A
antiviral_treatment_initiation	Antiviral Treatment Initiation	Initiation of antiviral treatment after onset of clinical symptoms in days. example: 2.5.	keyword	['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	2.5	N/A
gravidity	Gravidity	Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.	keyword	['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	no: yes, post-conception date 2020-05-07	N/A
hospitalisation	Hospitalisation	Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?	keyword	['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	yes; no	N/A
host_description	Host Description	Other descriptive information relating to the host.	text	['ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	no example needed	N/A	N/A	N/A
illness_duration	Illness Duration	The number of days the illness lasted. example: 4	integer	['ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	4	N/A
illness_onset_date	Illness Onset Date	Date the subject showed an onset of symptoms. format: yyyy-mm-dd. example: 2011-10-20	date	['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	2011-10-20	N/A
illness_symptoms	Illness Symptoms	The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.	text	['ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	fever; headache; malaise; myalgia; nausea; runny_nose	N/A
influenza_strain_unique_number	Influenza Strain Unique Number	Unique number of the strain which is reported as a part of the influenza strain name, such as a/chicken/fujian/411/2002(hxn1). format: integer number, example: 411	text	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	411	N/A
influenza_vaccination_date	Influenza Vaccination Date	Date that the influenza vaccination was administered to the subject over the past year. format: yyyy-mm-dd. example: 2007-05-12	date	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	2007-05-12	N/A
influenza_vaccination_type	Influenza Vaccination Type	Influenza vaccinations that have been administered to the subject over the last year. example: 2009 h1n1 flumist	keyword	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	2009 h1n1 flumist	N/A
influenza_like_illness_at_the_time_of_sample_collection	Influenza-like Illness at the Time of Sample Collection	Is the subject at the time of sample collection considered to have influenza like illness?	keyword	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	yes; no	N/A
inoculation_dose	Inoculation Dose	Dose used for the inoculoation experiment.	keyword	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	not sure	N/A	N/A	N/A
inoculation_route	Inoculation Route	Brief description of the protocol inoculation route.	text	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	not sure	N/A	N/A	N/A
inoculation_stock_availability	Inoculation Stock Availability	Is the virus stock used for the inoculation available?	text	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	not sure	N/A	N/A	N/A
lineage_swl_required_for_h1n1_viruses	Lineage: SWL (Required for H1N1 Viruses)	Does the h1n1 influenza virus originate from a swine-like outbreak (as opposed to a seasonal flu)?	keyword	['ENA ERC32', 'Analysis', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	not sure	N/A	N/A	N/A
meaning_of_cut_off_value	Meaning of Cut Off Value	Description helping to explain what the cut off value means.	keyword	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	no example needed	N/A	N/A	N/A
number_of_inoculated_individuals	Number of Inoculated Individuals	Number of host individuals inoculated for the experiment.	integer	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	5	N/A
personal_protective_equipment	Personal Protective Equipment	Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask	keyword	['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	mask	N/A
sample_capture_status	Sample Capture Status	Reason for the sample collection.	keyword	['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	active surveillance in response to outbreak; market sample	N/A
sample_storage_conditions	Sample Storage Conditions	Conditions at which sample was stored, usually storage temperature, duration and location. in soil context: explain how and for how long the soil sample was stored before dna extraction (fresh/frozen/other).	keyword	['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	not sure	N/A	N/A	N/A
sample_description	Sample Description	Free-form text describing the sample, its origin, and its method of isolation.	text	['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	no example needed	N/A	N/A	N/A
source_of_vaccination_information	Source of Vaccination Information	Designation of information related to vaccination history as self reported or documented.	keyword	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	decoumented; self reported	N/A
study_description	Study Description	Briefly describes the goals, purpose, and scope of the study.  this need not be listed if it can be inherited from a referenced publication.	text	['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Study', 'VJDB Study', 'Study']	N/A	no example needed	N/A	N/A	N/A
subject_exposure	Subject Exposure	Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. If multiple exposures are applicable, these are separated by semicolon. Example: poultry;wild bird	text	['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	poultry; wild  bird	N/A
subject_exposure_duration	Subject Exposure Duration	Duration of the exposure of the subject to an infected human or animal. If multiple exposures are applicable, their duration is stated in the same order in which the exposure in the field was reported: 'subject exposure'. Example: 1 day; 0.33 days (Units: year)	float	['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	1 day; 0.33 days 	N/A
study_title	Study Title	Clear and useful title of the study/project, e.g. a title usable for a publication or the purpose of the project and its timeframe.	text	['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Study', 'VJDB Study', 'Study']	N/A	no example needed	N/A	N/A	N/A
experiment_title	Experiment Title	Clear and useful title to identify the sequencing experiment. This title will not be submitted to the ENA on submission.	text	['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Experiment', 'VJDB Experiment', 'Study']	N/A	no example needed	N/A	N/A	N/A
sample_title	Sample Title	Clear and useful title to identify the sample the sequence originates from was collected/sampled. This title will not be submitted to the ENA on submission.	text	['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Sample', 'VJDB Sample', 'Study']	N/A	no example needed	N/A	N/A	N/A
type_exposure	Type Exposure	Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation	text	['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	backyard flock; confined animal feeding operation	N/A
vaccine_dosage	Vaccine Dosage	Dosage of the vaccine taken by the host. example: 0.05 ml	float	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	0.05 ml	N/A
vaccine_lot_number	Vaccine Lot Number	Lot number of the vaccine.	keyword	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	not sure	N/A	N/A	N/A
vaccine_manufacturer	Vaccine Manufacturer	Manufacturer of the vaccine.	text	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	not sure	N/A	N/A	N/A
who_oie_fao_clade_required_for_hpai_h5n1_viruses	WHO/OIE/FAO Clade (Required for HPAI H5N1 Viruses)	WHO/OIE/FAO clade should be included for highly pathogenic h5n1 viruses. example: 2.2	text	['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']	N/A	N/A	N/A	2.2	N/A
virus_old_names	Virus Old Names	Collection of outdated names for a particular virus.	text	['Sample', 'Clinical ']	N/A	no example needed	N/A	N/A	N/A
sequence_byte_range	Sequence Byte Range	Byte range data of the sample in the sequence file without the header	keyword	['Internal', 'Workflows']	N/A	no example needed	N/A	N/A	N/A
sequence_path	Sequence Path	The file location of the multiseq fasta file including the parent folder name 	keyword	['Internal', 'Workflows']	N/A	no example needed	N/A	N/A	N/A
insertion_date	Insertion Date	Date of the insertion into the VirJen database	date	['Internal', 'Workflows']	N/A	no example needed	N/A	N/A	N/A
update_date	Update Date	The last date the metadata was updated in the VirJen database.	date	['Internal', 'Workflows']	N/A	N/A	N/A	N/A	N/A
ictv_subrealm	ICTV Subrealm	A 'Subrealm' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Subrealm
ictv_subkingdom	ICTV Subkingdom	A 'Subkingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Subkingdom
ictv_subclass	ICTV Subclass	A 'Subclass' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Subclass
ncbi_subrealm	NCBI Subrealm	A 'Subrealm' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	N/A	no example needed	N/A	N/A	N/A
ncbi_subkingdom	NCBI Subkingdom	A 'Subkingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	N/A	no example needed	N/A	N/A	N/A
ncbi_subclass	NCBI Subclass	A 'Subclass' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	N/A	no example needed	N/A	N/A	N/A
host_age_normalized	Host Age Normalized	Host Ages in a uniform unit, TBD	integer	['Host', 'Clinical ']	VJDB	Use for sorting by host age, and relevant for plotting; not sure	N/A	N/A	N/A
lab_passaged	Lab Passaged	Indicator that sequences came from samples from a laboratory setting, and not from a wild host.	keyword	['Sample', 'Virus Info']	NCBI Virus	not sure	N/A	N/A	N/A
viralzone_page	ViralZone Page	There is one page in Viralzone associated to this Taxon ID.	boolean	['Source', 'Flags']	ViralZone	N/A	N/A	N/A	N/A
ictv_id	ICTV ID	ICTV ID from Master_Species_List file	keyword	['Source', 'Flags', 'ICTV Taxonomy']	ICTV	N/A	N/A	N/A	ICTV_ID
ictv_virus_name	ICTV Virus name	Commonly used virus name (or names separated by a semi-colon).	text	['Taxonomy', 'Virus Info', 'ICTV Taxonomy']	ICTV	N/A	N/A	N/A	Virus name(s)
taxonomy_tree_hash	Taxonomy Tree Hash	Hash ontent for the rank in the taxonomy tree.	keyword	['Internal', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
current_virjen_version	Current VirJen Version	A flag that indicates if the record is the latest update in VirJenDB database	boolean	['Internal', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
updated_fields	Updated Fields	List of VirJenDB metadata fields and their content when they are updated in each release in compare to the previous version	date	['Internal', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
genome_sequence	Genome Sequence	Virus genome sequence	keyword	['Internal', 'Workflows']	NCBI Virus|BVBRC|GTDB	N/A	N/A	N/A	N/A
genome_sequence_hash	Genome Sequence Hash	VIrus genome sequence hash SHA256	keyword	['Internal', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
host_assembly_program	Host Assembly Program	The program used for host genome assembly.	text	['IMG/VR', 'PhiSpy', 'Host', 'Workflows']	IMG/VR|PhiSpy|PhD	N/A	N/A	N/A	N/A
phage_id	phage id	phage id internal identifier	keyword	['IMG/VR', 'PHD', 'PhiSpy', 'Internal', 'Virus Info']	VJDB	From Malte's dataset, deprecated (VirJenDB Accession as new Identifier), soon to be removed	N/A	N/A	N/A
ictv_lineage_hash_list	ICTV Lineage Hash List 	The list of the hash for the lineage of the rank in the ICTV VMR.	keyword	['Internal', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
parent_hash	Parent Hash	Taxonomy Table Hash ID of the Parent Rank	keyword	['Internal', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
rank_hash	Rank Hash	Taxonomy Table Hash ID of the Rank	keyword	['Internal', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
ictv_rank_name	ICTV Rank Name	ICTV Rank Name	text	['Internal', 'Workflows']	ICTV	N/A	N/A	N/A	N/A
ictv_rank_type	ICTV Rank Type	ICTV Rank Type	keyword	['Internal', 'Workflows']	ICTV	N/A	N/A	N/A	N/A
imgvr_uvig_id	IMGVR UVIG ID	IMGVR UVIG ID	keyword	['IMG/VR', 'Host', 'Identifier']	IMG/VR|PhiSpy|PhD	N/A	N/A	N/A	N/A
coding_strand	Coding Strand	True if the current virus sequence is a coding strand. Calculated by part of the ViralClust tool suite. Only intended for ssRNA viruses.	boolean	['Analysis', 'Flags', 'Workflows']	VJDB	N/A	N/A	TRUE	N/A
host_confidence_score	Host Confidence Score	"Confidence score associated with the method by which ""Host Accession ID"" from NCBI GenBank or or ""NCBI Taxonomy Lineage"" was associated to the virus sequence. Multiple host associations/predictions separated by semicolons. "	float	['IMG/VR', 'PhiSpy', 'Host', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
checkv_contig_length	CheckV Contig Length	Length of the sequence as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	integer	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
checkv_provirus	CheckV Provirus	Prediction of whether the sequence is a provirus by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	keyword	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
checkv_proviral_length	CheckV Proviral Length	If the sequence is predicated as a provirus, the length ofthe provirus, calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	integer	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
checkv_gene_count	CheckV Gene Count	The number of genes in the virus sequence as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	integer	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
checkv_viral_genes	CheckV Viral Genes	The number of virus genes in the virus sequence as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	keyword	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
checkv_host_genes	CheckV Host Genes	The number of host genes as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	text	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
