vjdbv1.1_field_id	vjdbv1.1_name	vjdbv1.1_description	vjdbv1.1_privacy	vjdbv1.1_tags	vjdb_submission_requiredness	vjdb_example	vjdb_validation_rules	ena_submission_fieldtype	ena_submission_validation
imgvr_uvig_id	IMGVR UVIG ID	IMGVR UVIG ID	internal	"[""IMG/VR"", ""Host"", ""Identifier""]"	N/A	N/A	N/A	N/A	N/A
influenza_strain_unique_number	Influenza Strain Unique Number	Unique number of the strain which is reported as a part of the influenza strain name, such as a/chicken/fujian/411/2002(hxn1). format: integer number, example: 411	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	411	Whole number value	text	unique
influenza_test_method	Influenza Test Method	Method used to assess if a sample is flu positive/negative. Multiple methods are seperated by semicolon(s).	internal	"[""ENA"", ""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	mandatory	"""RT-PCR; antigen ELISA"""	Free text (Methods) seperated by semicolon, no quotes	suggestion	unique
influenza_test_result	Influenza Test Result	Result of the given methods. Positive(P) or Negative(N). For multiple test the results are delimited by semicolon, e.g. P; P.	internal	"[""ENA"", ""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	mandatory	"""P;P""; ""N""; ""N;P"""	P(positive)/N(negative) divided by semicolons matching the number and place of the corresponding test method, no quotes.	suggestion	unique
influenza_vaccination_date	Influenza Vaccination Date	Date that the influenza vaccination was administered to the subject over the past year. format: yyyy-mm-dd. example: 2007-05-12	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	2007-05-12	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext
influenza_vaccination_type	Influenza Vaccination Type	Influenza vaccinations that have been administered to the subject over the last year. example: 2009 h1n1 flumist	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	2009 h1n1 flumist	Free text	text	freetext
influenza_virus_type	Influenza Virus Type	Influenza virus type classification: A, B or C.	internal	"[""ENA"", ""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	recommended	A; B; C	Defined list of values, provided by the ENA	combo	controlled_vocabulary
influenza_like_illness_at_the_time_of_sample_collection	Influenza-like Illness at the Time of Sample Collection	Is the subject at the time of sample collection considered to have influenza like illness?	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	yes; no	Defined list of values, provided by the ENA	text	freetext
inoculation_dose	Inoculation Dose	Dose used for the inoculoation experiment.	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	N/A	Free text	text	freetext
inoculation_route	Inoculation Route	Brief description of the protocol inoculation route.	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	N/A	Free text	text	freetext
inoculation_stock_availability	Inoculation Stock Availability	Is the virus stock used for the inoculation available?	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	N/A	Free text	combo	controlled_vocabulary
insert_size	Insert Size	Insert size for paired reads.	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Workflows""]"	optional	N/A	N/A	text	freetext
insertion_date	Insertion Date	Date of the insertion into the VirJenDB	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
sequencing_instrument	Sequencing Instrument	Instrument model used for sequencing.	internal	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Workflows""]"	mandatory	AB 310 Genetic Analyzer	Defined list of values, provided by the ENA	combo	controlled_vocabulary
lab_passaged	Lab Passaged	Indicator that sequences came from samples from a laboratory setting, and not from a wild host.	internal	"[""Sample"", ""Virus Info""]"	N/A	N/A	N/A	N/A	N/A
latitude	Latitude	The geographic location by latitude, where the sample the sequence originates from was collected/sampled. (DD)	internal	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Collection""]"	recommended	-18.54; 68.277	Coordinates in DD format. Decimal number between  -90 and 90. 90 and -90 work without decimals.	text	unique
library_construction_protocol	Library Construction Protocol	The protocol used to construct the sequencing library.	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Workflows""]"	optional	N/A	Free text	text	freetext
library_description	Library Description	The design of the sequencing library including details of how it was constructed.	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Workflows""]"	optional	N/A	Free text	text	freetext
library_layout	Library Layout	The sequencing library layout specifies whether to expect single or paired configuration of reads.	internal	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Workflows""]"	mandatory	SINGLE	Defined list of values, provided by the ENA	combo	controlled_vocabulary
library_name	Library Name	The name for the sequencing library if any.	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Workflows""]"	mandatory	1111898265709	Free text	suggestion	freetext
library_selection	Library Selection	The method used to select for or against, enrich, or screen the material being sequenced.	internal	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Workflows""]"	mandatory	unspecified; RANDOM	Defined list of values, provided by the ENA	combo	controlled_vocabulary
library_source	Library Source	The library source specifies the type of source material that is being sequenced.	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Workflows""]"	mandatory	VIRAL RNA	Defined list of values, provided by the ENA	combo	controlled_vocabulary
library_strategy	Library Strategy	The sequencing technique intended for this sequencing library.	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Workflows""]"	mandatory	AMPLICON	Defined list of values, provided by the ENA	combo	controlled_vocabulary
lineage_swl_required_for_h1n1_viruses	Lineage: SWL (Required for H1N1 Viruses)	Does the h1n1 influenza virus originate from a swine-like outbreak (as opposed to a seasonal flu)?	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Analysis"", ""Clinical ""]"	optional	N/A	Free text	combo	controlled_vocabulary
collection_longitude	Collection Longitude	The geographic location by longitude, where the sample the sequence originates from was collected. (DD)	internal	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Collection""]"	recommended	-102.35; 22.6	Coordinates in DD format. Decimal number between  -180 and 180. 180 and -180 work without decimals.	text	unique
meaning_of_cut_off_value	Meaning of Cut Off Value	Description helping to explain what the cut off value means.	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	N/A	Free text	text	freetext
ncbi_subclass	NCBI Subclass	A 'Subclass' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	internal	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
ncbi_subkingdom	NCBI Subkingdom	A 'Subkingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	internal	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
ncbi_subrealm	NCBI Subrealm	A 'Subrealm' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	internal	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
ncbi_usa	NCBI USA	State/Region where the sample the sequence originates from was collected/sampled.	internal	"[""NCBI Virus"", ""Sample"", ""Collection""]"	N/A	NY; FL	State abbreviation(!)	combo	controlled_vocabulary
number_of_inoculated_individuals	Number of Inoculated Individuals	Number of host individuals inoculated for the experiment.	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	5	Whole number value	text	unique
other_pathogens_test_result	Other Pathogens Test Result	The test result for other tested pathogens given as described by influenza test result.	internal	"[""ENA"", ""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	mandatory	Newcastle; none	Free text (Methods) seperated by semicolon, no quotes. See also Influenza Test Method	suggestion	unique
other_pathogens_tested	Other Pathogens Tested	Was the sample tested for other pathogens? Insert the pathogenic organisms using semicolon as a delimiter, e.g. Newcastle. “None” is also valid.	internal	"[""ENA"", ""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	mandatory	"""P;P""; N; ""N;not applicable"""	P(positive)/N(negative)/not applicable divided by semicolons matching the number and place of the corresponding test method, no quotes.	suggestion	unique
pangolin_version	Pangolin Version	Pangolin version used to determine the lineage.	internal	"[""RKI"", ""Analysis"", ""Workflows""]"	N/A	N/A	N/A	suggestion	freetext
parent_hash	Parent Hash	Taxonomy Table Hash ID of the Parent Rank	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
personal_protective_equipment	Personal Protective Equipment	Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	mask	Free text, multiple values seperated by semicolon	text	unique
phage_id	phage id	phage id internal identifier	internal	"[""IMG/VR"", ""PHD"", ""PhiSpy"", ""Internal"", ""Virus Info""]"	N/A	N/A	N/A	N/A	N/A
publication_doi	Publication DOI	The Digital Object Identifier of the publication associated with the sequence.	internal	"[""MIGS-VI"", ""Organizational"", ""Identifiers""]"	N/A	10.1000/182	N/A	text	freetext
pubmed_accession	Pubmed Accession	The PubMed ID of publication associated with the sequence.	internal	"[""MIGS-VI"", ""BV-BRC"", ""Organizational"", ""Identifiers""]"	N/A	N/A	N/A	text	freetext
rank_hash	Rank Hash	Taxonomy Table Hash ID of the Rank	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
receipt_date	Receipt Date	If the sample was only received and not collected provide the receipt date.	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	recommended	2023-05-20	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext
rki_accession	RKI Accession	RKI Accession of the virus sequence.	internal	"[""RKI"", ""Organizational"", ""Identifiers""]"	N/A	N/A	N/A	text	freetext
run_accession	Run Accession	References a ENA assembly to an ENA Run object.	internal	"[""ENA"", ""Organizational"", ""Identifiers""]"	recommended	N/A	N/A	text	unique
sample_capture_status	Sample Capture Status	Reason for the sample collection.	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	recommended	active surveillance in response to outbreak; market sample	Defined list of values, provided by the ENA	combo	controlled_vocabulary
sample_description	Sample Description	Free-form text describing the sample, its origin, and its method of isolation.	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	N/A	Free text	textarea	freetext
sample_species_tax_id	Sample Species Tax ID	Temporary NCBI Tax ID used for mapping the taxonomy tree to the metadata table.	internal	"[""Sample"", ""Identifiers"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	suggestion	freetext
sample_storage_conditions	Sample Storage Conditions	Conditions at which sample was stored, usually storage temperature, duration and location. in soil context: explain how and for how long the soil sample was stored before dna extraction (fresh/frozen/other).	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	N/A	Free text	text	freetext
sample_title	Sample Title	Clear and useful title to identify the sample the sequence originates from was collected/sampled. This title will not be submitted to the ENA on submission.	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Organizational"", ""Study""]"	mandatory	N/A	Free text	text	freetext
sequence_byte_range	Sequence Byte Range	Byte range data of the sample in the sequence file without the header	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
sequence_name	Sequence Name	Generic name of the sequence (Name of the entry).	internal	"[""MIGS-VI"", ""BV-BRC"", ""Analysis"", ""Workflows""]"	N/A	N/A	N/A	text	freetext
sequence_path	Sequence Path	The file location of the multiseq fasta file including the parent folder name 	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
serotype	Serotype	Serological variety of a species characterised by its antigenic properties, e.g. H1N1.	internal	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical""]"	recommended	H1N1	Free text	suggestion	freetext
source_of_vaccination_information	Source of Vaccination Information	Designation of information related to vaccination history as self reported or documented.	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	decoumented; self reported	Defined list of values, provided by the ENA	combo	controlled_vocabulary
