vjdbv1.0_field_id	vjdbv1.0_name	vjdbv1.0_description	ena_field_id	rki_field_id	migs-vi_field_id	migs-uvig_field_id	env-o_field_id	ncbi_virus_n_nucleotide_field_id	bv-brc_b_field_name	ena_erc32_field_name	ena_erc33_field_name	ncbi_virus_n_field_name	ncbi_virus_n_field_description	ncbi_virus_n_type	ncbi_virus_n_curation_notes	bv-brc_b_category	bv-brc_b_schema_category	bv-brc_b_field_id	bv-brc_b_field_type	bv-brc_b_curation_notes	ena_erc32_field_description	ena_erc32_controlled_vocabulary	ena_erc32_field_type	ena_erc33_field_description	ena_erc33_controlled_vocabulary	ena_erc33_field_type	ictv40_i_field_name
host_common_name	Host Common Name	Common name of the host the virus sequence was collected from, e.g. human. Currently (v1.0) no ontology is applied.	host common name					Host	Host Common Name	host common name	host common name	Host	The host organism from which the virus was isolated. This is the submitter-provided host organism, not the full host range known for the virus. For more information, see Glossary: Host.			Host Info		host_common_name	string_ci		(Mandatory) Common name of the host, e.g. human			(Mandatory) Common name of the host, e.g. human		TEXT_FIELD	
sequence_length	Sequence Length	Length of the virus sequence in basepairs (bp).						Length	Size			Length	Sequence length, the number of nucleotides or amino acids in the sequence.			Genome Statistics	Genome Statistics	genome_length	int								
molecule_type	Molecule Type	Molecule type of the sequence, e.g. ssRNA. Note that there are 15 molecule types corresponding to combinations of the Baltimore Classifications, from NCBI GenBank.	molecule type					Molecule_type				Molecule Type	Genome molecule type, type of viral nucleic acid, as provided by ICTV. For more information, see Glossary: Genome Molecule Type.														
genome_completeness	Genome Completeness	Wether the sequence is a partial or complete sequence in NCBI GenBank.						Nuc_Completeness				Nuc Completeness	Indicates if the nucleotide sequence is complete or partial. Nucleotide sequences are considered complete, if they were submitted as such to GenBank or other INSDC databases. For more information, see Glossary: Nucleotide Completeness.														
organism_name	Organism Name	NCBI GenBank organism name: a taxonomic name at species level or below the species level.						Organism_Name				Organism Name	Gen Bank organism name, a taxonomic name at species level or below the species level.														
submitter_organization	Submitter Organization	Organization the submitter(s) is(are) affiliated with.						Organization				Organization	Organization or institution the sequence submitters affiliated with, as well as country or location of the organization.		may need to split Organization to submitter_region												
release_date	Release Date	Date when the sequence was made public in a repository (e.g. GenBank, BV-BRC).		SEQUENCE. PUSHED_TO_DWH				Release_Date				Release Date	The date when the sequence was released in the GenBank.														
segment_name	Segment Name	Name of the virus segment. Can be a number.						Segment				Segment	Segment name or number representing a genome segment. For more information, see Clossary: Segment.														
sra_accession	SRA Accession	NCBI Sequence Read Archive (SRA) Accession.						SRA_Accession	SRA Accession			SRA accession	NCBI Sequence Read Archive (SRA) accession number.			DB Cross Reference		sra_accession	string								
submitter	Submitter	Name(s) of the submitter(s) of the virus sequence.						Submitters				Submitters	Authors who submitted the sequences.														
collection_source_host_tissue	Collection Source Host Tissue	Tissue, Specimen or Source of the superhost from which the sample the virus sequence originates from was collected or sampled.	isolation source host-associated	SEQUENCE. SAMPLE_TYPE; different vocabulary	env_medium? more or less			Tissue_Specimen_Source		isolation source host-associated	isolation source host-associated	Tissue/Specimen Source	Isolation source, part of the host organism, where the sample was obtained. For more information, see Glossary: Tissue/Specimen/Source.		split Tissue_Specimen_Source to collection_source_environment and collection_source_host_tissue						(Recommended) Name of host tissue or organ sampled for analysis. example: tracheal tissue			(Recommended) Name of host tissue or organ sampled for analysis. example: tracheal tissue		TEXT_FIELD	
bv_brc_accession	BV-BRC Accession	Accession of the sequence in the BV-BRC database.							Genome ID							General Info		genome_id	string								
bv_brc_host_group	BV-BRC Host Group	The host's broader group association in a taxonomic context from BV-BRC.							Host Group							Host Info		host_group	string_ci								
host_species	Host Species	The scientific species name of the sampled host.	host scientific name		specific_host				Host Name	host scientific name	host scientific name					Host Info		host_name	string_ci	they are not all scientific names	(Mandatory) Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.			(Mandatory) Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.		TEXT_FIELD	
host_ncbi_tax_id	Host NCBI Tax ID	The host sequence NCBI Taxonomy ID. Can be based on the mapping by GTDB of the GTDB Species Name to the NCBI Taxonomy ID.			specific_host																			(Optional) Scientific name of the laboratory host used to propagate the source organism from which the sample was obtained		TEXT_FIELD	
bvbrc_host_sex	BVBRC Host Sex	Sex of the sampled host from the BV-BRC.	host sex						Host Gender	host sex	host sex					Host Info		host_gender	string_ci		(Mandatory) Gender or sex of the host.			(Mandatory) Gender or sex of the host.		TEXT_CHOICE_FIELD	
bv_brc_sequence	BV-BRC Sequence	Flag indicating if this virus sequence is available in BV-BRC.																									
pangolin_lineage	Pangolin Lineage	Lineage determined by Pangolin.		PANGOLIN. LINEAGE_LATEST					Lineage							Type Info		lineage	string								
ncbi_speciestax_id	NCBI SpeciesTax ID	The virus species NCBI Taxonomy ID.	tax_id		samp_taxon_id				NCBI Taxon ID	taxon_id	taxon_id					Taxonomy Info	Taxonomy	taxon_id	int		(Mandatory) Ncbi taxonomy identifier. this is appropriate for individual organisms and some environmental samples.			(Mandatory) Ncbi taxonomy identifier. this is appropriate for individual organisms and some environmental samples.		TEXT_FIELD	
average_depth	Average Depth	Average sequencing depth across the sequence from BVBRC.	sequence_coverage						Sequencing Depth							Sequence Info		sequencing_depth	string_ci	average							
gc_content	GC Content	Percentage of G and C nucleotides in the sequence from BVBRC.							GC Content							Genome Statistics	Genome Statistics	gc_content	float								
sequencing_center	Sequencing Center	Institution that sequenced the collected sample.							Sequencing Center							Sequence Info		sequencing_centers	string_ci								
platform	Platform	Instrument platform used for sequencing the virus; multiple values are seperated by a semicolon (only for assemblies).	instrument platform	SEQUENCE. SEQUENCING_METHOD					Sequencing Platform	platform	platform					Sequence Info		sequencing_platform	string_ci		(Mandatory) The platform record selects which sequencing platform and platform-specific runtime parameters. this will be determined by the center. optional if 'instrument_model' is provided.			(Mandatory) The platform record selects which sequencing platform and platform-specific runtime parameters. this will be determined by the center. optional if 'instrument_model' is provided.		TEXT_CHOICE_FIELD	
sequence_source	Sequence Source	The name of the source database or tool by which the virus sequence was added in VirJenDB; in the case of PhiSpy-predicted prophages, the value is PhiSpy.																									
submitter_country	Submitter Country	Country of the submitter's organization.						Org_location																			
submitter_region	Submitter Region	Region or location of the organization of the submitters.													may need to split Organization to submitter_region												
virjendb_accession	VirJenDB Accession	Unique identifier of the virus sequence, assigned by VirJenDB.																									
virjendb_metadata_version	VirJenDB Metadata Version	Version of the virus sequence record, including metadata, assigned by VirJenDB.																									
strain	Strain	Name of the virus strain associated with the sample from which the virus sequence was obtained.							Strain	strain	strain							strain			(Optional) Name of the strain from which the sample was obtained.			(Optional) Name of the strain from which the sample was obtained.		TEXT_FIELD	
ictv_realm	ICTV Realm	A 'Realm' is the highest taxonomic rank into which a virus sequence can be classified. Defined by the ICTV.																									Realm
ictv_kingdom	ICTV Kingdom	A 'Kingdom' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.																									Kingdom
ictv_phylum	ICTV Phylum	A 'Phylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.																									Phylum
ictv_subphylum	ICTV Subphylum	A 'Subphylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.																									Subphylum
ictv_class	ICTV Class	A 'Class' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.																									Class
ictv_order	ICTV Order	A 'Order' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.																									Order
ictv_suborder	ICTV Suborder	A 'suborder' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.																									Suborder
ictv_family	ICTV Family	A 'Family' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.																									Family
ictv_subfamily	ICTV Subfamily	A 'Subfamily' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.																									Subfamily
ictv_genus	ICTV Genus	A 'Genus' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.																									Genus
ictv_subgenus	ICTV Subgenus	A 'Subgenus' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.																									Subgenus
ictv_species	ICTV Species	A Species is the lowest taxonomic rank in the hierarchy approved by the ICTV. While subspecies levels of classification may exist for some viruses (e.g. Hepatitis C virus), the ICTV does not classify viruses below the species level. Defined by the ICTV.																									Species
ncbi_realm	NCBI Realm	A 'Realm' is the highest taxonomic rank into which virus species can be classified. Defined by the NCBI.																									
ncbi_kingdom	NCBI Kingdom	A 'Kingdom' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.							Kingdom						Taxonomy Info	Taxonomy	kingdom	string_ci									
ncbi_phylum	NCBI Phylum	A 'Phylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.							Phylum						Taxonomy Info	Taxonomy	phylum	string_ci									
ncbi_subphylum	NCBI Subphylum	A 'Subphylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.																									
ncbi_class	NCBI Class	A 'Class' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.							Class						Taxonomy Info	Taxonomy	class	string_ci									
ncbi_order	NCBI Order	A 'Order' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.							Order						Taxonomy Info	Taxonomy	order	string_ci									
ncbi_suborder	NCBI Suborder	A 'suborder' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.																									
ncbi_family	NCBI Family	A 'Family' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.						Family	Family			Family	Family name, as identified by NCBI Taxonomy.			Taxonomy Info	Taxonomy	family	string_ci								
ncbi_subfamily	NCBI Subfamily	A 'Subfamily' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.																									
ncbi_genus	NCBI Genus	A 'Genus' is a rank in the taxonomic hierarchy into which virus a sequence can be classified. Defined by the NCBI.						Genus	Genus			Genus	Genus name, as identified by NCBI Taxonomy.			Taxonomy Info	Taxonomy	genus	string_ci								
ncbi_subgenus	NCBI Subgenus	A 'Subgenus' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.																									
ncbi_species	NCBI Species	A Species is the lowest taxonomic rank in the hierarchy approved by the NCBI. While subspecies levels of classification may exist for some viruses (e.g. Hepatitis C virus), the NCBI does not classify viruses below the species level. Defined by the NCBI.	scientific name					Species	Species			Species	Species name, as defined by NCBI Taxonomy.			Taxonomy Info	Taxonomy	species	string_ci								
genotype	Genotype	"The genotype or subtype of a virus sequence, as provided by the sequence submitter. This field comes from the ""/serotype"" field of the GenBank record and is shown as submitted. Consistency and accuracy may vary."			subspecf_gen_lin; broad field			Genotype				Genotype	"In the NCBI Virus database, the term ""Genotype"" refers to the genotype or subtype of a viral sequence, as provided by the sequence submitter. This information is displayed in the Genotype column of the Results Table and can also be used as a filter to refine search results.

The genotype information is parsed from the ""/serotype"" field of the GenBank record and is shown exactly as it was submitted by the sequence submitter. The presence, accuracy, and consistency of genotype data may vary between records, as it is not a mandatory field in the GenBank submission process."														
isolate	Isolate	Name of the virus isolate associated with the sample from which the virus sequence was obtained.	isolate					Isolate		isolate	isolate	Isolate	"Isolate or strain name from the ""/isolate"" field of GenBank record. For more information, see Glossary: Isolate."											(Mandatory) Individual isolate from which the sample was obtained		TEXT_FIELD	
host_age	Host Age	"Host age number only from ""BVBRC Host Age"". Caution: not yet standardized by unit!"	host age						Host Age	host age	host age					Host Info		host_age	string_ci		(Recommended) Age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees (Units: years)			"(Recommended) Age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees Units: 
"		TEXT_FIELD	
ncbi_lineage_ids	NCBI Lineage IDs	NCBI TaxIDs assigned to the virus sequence, from BVBRC.							Taxon Lineage IDs							Taxonomy Info	Taxonomy	taxon_lineage_ids	string	add; we will add NCBI Tax Names from the NCBI Taxonomy DB later							
ncbi_lineage_names	NCBI Lineage Names	Aggregation of the NCBI Taxonomy Names associated with the virus sequence.							Taxon Lineage Names						Taxonomy Info	Taxonomy	taxon_lineage_names	string									
ictv_lineage_names	ICTV Lineage Names	Aggregation of the ICTV Taxonomy Names associated with the virus sequence.																									
ictv_exemplar	ICTV Exemplar	Flag indicating yes if the sequence is an exemplar of the species in the ICTV Taxonomy.																									
ictv_host_group	ICTV Host Group	The ICTV Host source field content to be combined with other host group data from the other sources.																									Host source
bv_brc_host_age	BV-BRC Host Age	Host Age and Unit from BV-BRC.							Host Age							Host Info		host_age	string_ci								
host_gtdb_species_name	Host GTDB Species Name	References the Host GTDB Species Name to which the NCBI host taxonomy ID of the virus sequence could be mapped. See the mapping file on the Datasets page.																									
unique_representative	Unique Representative	Flag indicating yes if the sequence is a representative for a group of identical VirJenDB sequences.																									
unique_reference	Unique Reference	The VirJenDB ID for the unique representative sequence. For the non-phages, the smallest Accession in the group. See documentation for selection details.																									
cluster_representative	Cluster Representative	Flag indicating yes if the sequence is a representative sequence of a group of sequences, computed by VClust. See documentation for selection details.																									
cluster_reference	Cluster Reference	The VirJenDB ID of the representative of its cluster. See documentation for selection details.																									
predicted_method	Predicted Method	The tool used to predict the virus sequence. No value means that it is not a predicted virus sequence. 																									
host_accession	Host Accession	Host Accession from NCBI GenBank that refers to the host sequence from which the prophage was predicted.																									
host_bioproject_accession	Host BioProject Accession	References the BioProject Accession associated with the host sequence.																									
host_biosample_accession	Host Biosample Accession	References the BioSample Accession associated with the host sequence.																									
host_country	Host Country	Country or sea area origin of the sample from which the host sequence originates.																									
host_collection_date	Host Collection Date	Date of collection of the sample from which the host sequence originates.																									
host_imgm_taxon_oid	Host IMGM Taxon OID	Associated Host IMGM Taxon OID from which the virus sequence was extracted by IMG/VR.																									
host_average_sequence_depth	Host Average Sequence Depth	Average sequencing depth across the host sequence. Multiple host associations/predictions separated by semicolons. 																									
host_sequencing_platform	Host Sequencing Platform	Instrument or sequencing platform used for host sequencing. Multiple host associations/predictions separated by semicolons. 																									
host_association_method	Host Association Method	"Method by which the fields ""Host Accession ID"" from NCBI GenBank or ""NCBI Taxonomy Lineage"" was associated to the virus sequence. Currently (v1.0) either a host association from the data source or PhiSpy prophage prediction. Multiple host associations/predictions separated by semicolons. "																									
ncbi_clade	NCBI Clade	"Sub-species designation of the virus sequence, from NCBI GenBank field ""clade""."																									
ncbi_genotype	NCBI Genotype	"Sub-species designation of the virus sequence, from NCBI GenBank field ""genotype""."																									
ncbi_serotype	NCBI Serotype	"Sub-species designation of the virus sequence, from NCBI GenBank field ""serotype""."																									
ncbi_isolate	NCBI Isolate	"Sub-species designation of the virus sequence, from NCBI GenBank field ""isolate""."																									
