vjdbv1.0_field_index,vjdbv1.0_field_id,vjdbv1.0_name,vjdbv1.0_description,vjdbv1.0_fields_type,vjdbv1.0_privacy,vjdbv0.2__field_id,vjdbv0.1_field_id,ena_field_id,rki_field_id,migs-vi_field_id,migs-uvig_field_id,env-o_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,ena_submission_object_object_name,vjbd_submission_object_object_name,vjdbv1.0_group1,vjdbv1.0_group2,vjdbv1.0_group3,vjdbv1.0_tags,vjdbv1.0_input_source,vjdbv1.0_notes,vjdbv1.0_changes,vjdbv0.2_previous_changes,ncbi_virus_n_field_name,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,ena_submission_requiredness,vjdb_submission_requiredness,vjdb_example,vjdb_validation_rules,ena_submission_fieldtype,ena_submission_validation,ictv40_i_field_name,vjdbv1.0_index,vjdbv1.0_search_method,vjdbv1.0_default_search
0bj,collection_source_environment,Collection Source Environment,"Describes the physical, environmental or local geographical source of the sample, e.g. soil",text,internal,collection_source_environment,host_tissue,isolation source non-host-associated,N/A,env_medium? more or less,N/A,N/A,N/A,N/A,isolation source non-host-associated,isolation source non-host-associated,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,"as it is, for revision with data; not sure",collection_source_non-host_associated,N/A,N/A,N/A,N/A,split Tissue_Specimen_Source to collection_source_environment and collection_source_host_tissue,N/A,N/A,N/A,N/A,N/A,N/A,"(Recommended) Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived. example: soil",N/A,N/A,"(Recommended) Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived. example: soil",N/A,TEXT_FIELD,recommended,recommended,N/A,N/A,suggestion,freetext,N/A,metadata,full fuzzy,N/A
0bk,collector_name,Collector Name,Name of the person that collected the sample,text,internal,collector_name,N/A,collector name,N/A,N/A,N/A,N/A,N/A,N/A,collector name,collector name,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Name of the person who collected the specimen. example: john smith,N/A,N/A,(Mandatory) Name of the person who collected the specimen. example: john smith,N/A,TEXT_AREA_FIELD,mandatory,mandatory,"Zuckerman,N.",Free text,text,freetext,N/A,metadata,full fuzzy,N/A
0bl,cutoff_for_seropositive_sample,Cutoff for Seropositive Sample,The cuttoff used to determine if the sample is seropositive.,keyword,internal,cutoff_for_seropositive_sample,N/A,definition for seropositive sample,N/A,N/A,N/A,N/A,N/A,N/A,definition for seropositive sample,definition for seropositive sample,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.,N/A,N/A,(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.,N/A,TEXT_FIELD,recommended,recommended,N/A,N/A,text,freetext,N/A,metadata,exact,N/A
0bm,experiment_accession,Experiment Accession,References an ENA assembly to an ENA Experiment.,keyword,internal,experiment_accession_id,N/A,experiment accession?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['ENA', 'Organizational', 'Identifiers']",N/A,no example needed,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,unique,N/A,metadata,exact,N/A
0bn,host_behaviour,Host Behaviour,Natural behaviour of the sampled host.,text,internal,host_behaviour,N/A,host behaviour,N/A,N/A,N/A,N/A,N/A,N/A,host behaviour,host behaviour,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Natural behaviour of the host.,N/A,N/A,(Recommended) Natural behaviour of the host.,N/A,TEXT_CHOICE_FIELD,recommended,recommended,domestic; wild,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,exact fuzzy,N/A
0bo,host_disease,Host Disease,The hosts main disease diagnosis.,text,internal,host_disease,disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Clinical,N/A,"['Host', 'Clinical']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,N/A,metadata,exact fuzzy,N/A
0bp,host_disease_outcome,Host Disease Outcome,The hosts disease outcome. Did the host recover from the disease?,text,internal,host_disease_outcome,N/A,host disease outcome,N/A,N/A,N/A,N/A,N/A,N/A,host disease outcome,host disease outcome,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Disease outcome in the host.,N/A,N/A,(Recommended) Disease outcome in the host.,N/A,TEXT_CHOICE_FIELD,recommended,recommended,recovered; dead,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,exact fuzzy,N/A
0bq,host_disease_symptoms,Host Disease Symptoms,"The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. If multiple exposures are applicable, please state them separated by semicolon.",text,internal,host_disease_symptoms,N/A,illness symptoms,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Clinical,N/A,"['ENA', 'Host', 'Clinical']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,optional,optional,fever; headache; runny_nose,Free text,suggestion,unique,N/A,metadata,exact fuzzy,N/A
0bs,host_habitat,Host Habitat,Natural habitat of the avian or mammalian host,text,internal,host_habitat,N/A,host habitat,N/A,N/A,N/A,N/A,N/A,N/A,host habitat,host habitat,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Collection,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Natural habitat of the avian or mammalian host.,N/A,N/A,(Recommended) Natural habitat of the avian or mammalian host.,N/A,TEXT_CHOICE_FIELD,recommended,recommended,domestic:free-range farm; wild:resident,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,exact fuzzy,N/A
0bz,host_subject_id,Host Subject ID,The unique ID of the sampled host from the BV-BRC.,keyword,internal,host_subject_id,N/A,host subject id,N/A,N/A,N/A,N/A,N/A,N/A,host subject id,host subject id,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131",N/A,N/A,"(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131",N/A,TEXT_FIELD,mandatory,mandatory,N/A,N/A,suggestion,freetext,N/A,metadata,exact,N/A
0ca,influenza_test_method,Influenza Test Method,Method used to assess if a sample is flu positive/negative. Multiple methods are seperated by semicolon(s).,text,internal,influenza_test_method,N/A,influenza test method,N/A,N/A,N/A,N/A,N/A,N/A,influenza test method,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Method by which the current assessment of a sample as flu positive/negative is made. if multiple test were performed, please state them separated by semicolon. example: rt-pcr; antigen elisa",N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,"""RT-PCR; antigen ELISA""","Free text (Methods) seperated by semicolon, no quotes",suggestion,unique,N/A,metadata,full fuzzy,N/A
0cb,influenza_test_result,Influenza Test Result,"Result of the given methods. Positive(P) or Negative(N). For multiple test the results are delimited by semicolon, e.g. P; P.",keyword,internal,influenza_test_result,N/A,influenza test result,N/A,N/A,N/A,N/A,N/A,N/A,influenza test result,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Classification of a sample as flu positive or negative based on the test performed and reported. if multiple tests were performed, please state the results in the same order in which you reported the tests in the field 'influenza test method'. format: p(ositive)/n(egative). example: p; p",N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,"""P;P""; ""N""; ""N;P""","P(positive)/N(negative) divided by semicolons matching the number and place of the corresponding test method, no quotes.",suggestion,unique,N/A,metadata,exact,N/A
0cc,influenza_virus_type,Influenza Virus Type,"Influenza virus type classification: A, B or C.",keyword,internal,influenza_virus_type,variant,influenza virus type,N/A,N/A,N/A,N/A,N/A,N/A,influenza virus type,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) One of the three influenza virus classification types.,N/A,N/A,N/A,N/A,N/A,recommended,recommended,A; B; C,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,exact fuzzy,N/A
0ce,other_pathogens_test_result,Other Pathogens Test Result,The test result for other tested pathogens given as described by influenza test result.,keyword,internal,other_pathogens_test_result,N/A,other pathogens test result,N/A,N/A,N/A,N/A,N/A,N/A,other pathogens test result,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Classification of a sample as positive or negative based on the test performed and reported. if tests for multiple pathogenic organisms were performed, please state the results in the same order in which you reported the tests in the field 'other pathogens tested'. format: p(ositive)/n(egative)/not applicable. example: n",N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,Newcastle; none,"Free text (Methods) seperated by semicolon, no quotes. See also Influenza Test Method",suggestion,unique,N/A,metadata,full fuzzy,N/A
0cf,other_pathogens_tested,Other Pathogens Tested,"Was the sample tested for other pathogens? Insert the pathogenic organisms using semicolon as a delimiter, e.g. Newcastle. “None” is also valid.",keyword,internal,other_pathogens_tested,N/A,other pathogens tested,N/A,N/A,N/A,N/A,N/A,N/A,other pathogens tested,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Classification of pathogenic organisms other than influenza virus tested in the current assessment of a sample. if multiple tests were performed, please state them separated by semicolon. if no other pathogens test was performed, please state 'none'. example: newcastle",N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,"""P;P""; N; ""N;not applicable""","P(positive)/N(negative)/not applicable divided by semicolons matching the number and place of the corresponding test method, no quotes.",suggestion,unique,N/A,metadata,exact,N/A
0ch,pangolin_version,Pangolin Version,Pangolin version used to determine the lineage.,keyword,internal,pangolin_version,N/A,N/A,PANGOLIN. PANGOLIN_VERSION _LATEST,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,N/A,Workflows,"['RKI', 'Analysis', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,N/A,metadata,exact,N/A
0ci,receipt_date,Receipt Date,If the sample was only received and not collected provide the receipt date.,date,internal,receipt_date,N/A,receipt date,N/A,N/A,N/A,N/A,N/A,N/A,receipt date,receipt date,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.",N/A,N/A,"(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.",N/A,TEXT_FIELD,recommended,recommended,2023-05-20,"YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)",date,freetext,N/A,metadata,range,N/A
0cj,rki_accession,RKI Accession,RKI Accession of the virus sequence.,keyword,internal,rki_sequence_id,N/A,N/A,SEQUENCE.ID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['RKI', 'Organizational', 'Identifiers']",N/A,no example needed,remove,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,N/A,metadata,exact,N/A
0ck,run_accession,Run Accession,References a ENA assembly to an ENA Run object.,keyword,internal,run_accession_id,N/A,run ref,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['ENA', 'Organizational', 'Identifiers']",N/A,no example needed,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,recommended,recommended,N/A,N/A,text,unique,N/A,metadata,exact,N/A
0cm,serotype,Serotype,"Serological variety of a species characterised by its antigenic properties, e.g. H1N1.",text,internal,sample_serotype,variant,serotype,N/A,subspecf_gen_lin; broad field,N/A,N/A,N/A,N/A,serotype (required for a seropositive sample),serotype (required for a seropositive sample),N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,"NCBI Virus has genotype, which includes Serotype, otherwise we have no valid informational source -> internal for now; ",keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1",N/A,N/A,"(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1",N/A,TEXT_FIELD,recommended,recommended,H1N1,Free text,suggestion,freetext,N/A,metadata,full fuzzy,N/A
0cn,abbreviation,Abbreviation,Common abbreviations of the virus species name.,keyword,internal,sample_species_name_abbreviation,abbreviation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Virus Info,ICTV Taxonomy,"['Sample', 'Virus Info', 'ICTV Taxonomy']",ICTV,N/A,tbd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HPV,"Free text, common virus name abbreviations were collected by the ICTV",suggestion,freetext,Virus name abbreviation(s),metadata | taxonomy,exact,default search
