vjdbv1.0_field_id,vjdbv1.0_name,vjdbv1.0_description,vjdbv1.0_fields_type,rki_field_id,migs-vi_field_id,migs-uvig_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,vjdbv1.0_tags,vjdbv1.0_input_source,vjdbv1.0_notes,vjdbv1.0_changes,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,vjdb_example,ictv40_i_field_name
collector_name,Collector Name,Name of the person that collected the sample,text,N/A,N/A,N/A,N/A,N/A,collector name,collector name,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Name of the person who collected the specimen. example: john smith,N/A,N/A,(Mandatory) Name of the person who collected the specimen. example: john smith,N/A,TEXT_AREA_FIELD,"Zuckerman,N.",N/A
cutoff_for_seropositive_sample,Cutoff for Seropositive Sample,The cuttoff used to determine if the sample is seropositive.,keyword,N/A,N/A,N/A,N/A,N/A,definition for seropositive sample,definition for seropositive sample,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,not sure,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.,N/A,N/A,(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.,N/A,TEXT_FIELD,N/A,N/A
experiment_accession,Experiment Accession,References an ENA assembly to an ENA Experiment.,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'Organizational', 'Identifiers']",N/A,no example needed,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
host_behaviour,Host Behaviour,Natural behaviour of the sampled host.,text,N/A,N/A,N/A,N/A,N/A,host behaviour,host behaviour,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Natural behaviour of the host.,N/A,N/A,(Recommended) Natural behaviour of the host.,N/A,TEXT_CHOICE_FIELD,domestic; wild,N/A
host_disease,Host Disease,The hosts main disease diagnosis.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Host', 'Clinical']",N/A,not sure,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
host_disease_outcome,Host Disease Outcome,The hosts disease outcome. Did the host recover from the disease?,text,N/A,N/A,N/A,N/A,N/A,host disease outcome,host disease outcome,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Disease outcome in the host.,N/A,N/A,(Recommended) Disease outcome in the host.,N/A,TEXT_CHOICE_FIELD,recovered; dead,N/A
host_disease_symptoms,Host Disease Symptoms,"The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. If multiple exposures are applicable, please state them separated by semicolon.",text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'Host', 'Clinical']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fever; headache; runny_nose,N/A
host_habitat,Host Habitat,Natural habitat of the avian or mammalian host,text,N/A,N/A,N/A,N/A,N/A,host habitat,host habitat,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Natural habitat of the avian or mammalian host.,N/A,N/A,(Recommended) Natural habitat of the avian or mammalian host.,N/A,TEXT_CHOICE_FIELD,domestic:free-range farm; wild:resident,N/A
host_subject_id,Host Subject ID,The unique ID of the sampled host from the BV-BRC.,keyword,N/A,N/A,N/A,N/A,N/A,host subject id,host subject id,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131",N/A,N/A,"(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131",N/A,TEXT_FIELD,N/A,N/A
influenza_test_method,Influenza Test Method,Method used to assess if a sample is flu positive/negative. Multiple methods are seperated by semicolon(s).,text,N/A,N/A,N/A,N/A,N/A,influenza test method,N/A,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Method by which the current assessment of a sample as flu positive/negative is made. if multiple test were performed, please state them separated by semicolon. example: rt-pcr; antigen elisa",N/A,N/A,N/A,N/A,N/A,"""RT-PCR; antigen ELISA""",N/A
influenza_test_result,Influenza Test Result,"Result of the given methods. Positive(P) or Negative(N). For multiple test the results are delimited by semicolon, e.g. P; P.",keyword,N/A,N/A,N/A,N/A,N/A,influenza test result,N/A,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Classification of a sample as flu positive or negative based on the test performed and reported. if multiple tests were performed, please state the results in the same order in which you reported the tests in the field 'influenza test method'. format: p(ositive)/n(egative). example: p; p",N/A,N/A,N/A,N/A,N/A,"""P;P""; ""N""; ""N;P""",N/A
influenza_virus_type,Influenza Virus Type,"Influenza virus type classification: A, B or C.",keyword,N/A,N/A,N/A,N/A,N/A,influenza virus type,N/A,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) One of the three influenza virus classification types.,N/A,N/A,N/A,N/A,N/A,A; B; C,N/A
other_pathogens_test_result,Other Pathogens Test Result,The test result for other tested pathogens given as described by influenza test result.,keyword,N/A,N/A,N/A,N/A,N/A,other pathogens test result,N/A,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Classification of a sample as positive or negative based on the test performed and reported. if tests for multiple pathogenic organisms were performed, please state the results in the same order in which you reported the tests in the field 'other pathogens tested'. format: p(ositive)/n(egative)/not applicable. example: n",N/A,N/A,N/A,N/A,N/A,Newcastle; none,N/A
other_pathogens_tested,Other Pathogens Tested,"Was the sample tested for other pathogens? Insert the pathogenic organisms using semicolon as a delimiter, e.g. Newcastle. “None” is also valid.",keyword,N/A,N/A,N/A,N/A,N/A,other pathogens tested,N/A,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Classification of pathogenic organisms other than influenza virus tested in the current assessment of a sample. if multiple tests were performed, please state them separated by semicolon. if no other pathogens test was performed, please state 'none'. example: newcastle",N/A,N/A,N/A,N/A,N/A,"""P;P""; N; ""N;not applicable""",N/A
pangolin_version,Pangolin Version,Pangolin version used to determine the lineage.,keyword,PANGOLIN. PANGOLIN_VERSION _LATEST,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['RKI', 'Analysis', 'Workflows']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
receipt_date,Receipt Date,If the sample was only received and not collected provide the receipt date.,date,N/A,N/A,N/A,N/A,N/A,receipt date,receipt date,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.",N/A,N/A,"(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.",N/A,TEXT_FIELD,2023-05-20,N/A
rki_accession,RKI Accession,RKI Accession of the virus sequence.,keyword,SEQUENCE.ID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['RKI', 'Organizational', 'Identifiers']",N/A,no example needed,remove,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
run_accession,Run Accession,References a ENA assembly to an ENA Run object.,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'Organizational', 'Identifiers']",N/A,no example needed,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
serotype,Serotype,"Serological variety of a species characterised by its antigenic properties, e.g. H1N1.",text,N/A,subspecf_gen_lin; broad field,N/A,N/A,N/A,serotype (required for a seropositive sample),serotype (required for a seropositive sample),N/A,N/A,N/A,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,"NCBI Virus has genotype, which includes Serotype, otherwise we have no valid informational source -> internal for now; ",keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1",N/A,N/A,"(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1",N/A,TEXT_FIELD,H1N1,N/A
abbreviation,Abbreviation,Common abbreviations of the virus species name.,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Sample', 'Virus Info', 'ICTV Taxonomy']",ICTV,N/A,tbd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HPV,Virus name abbreviation(s)
sample_species_tax_id,Sample Species Tax ID,Temporary NCBI Tax ID used for mapping the taxonomy tree to the metadata table.,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Sample', 'Identifiers', 'NCBI Taxonomy']",NCBI Taxonomy,"No mapping, seems to  be NCBI Tax ID; not sure",tbd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sequence_name,Sequence Name,Generic name of the sequence (Name of the entry).,text,N/A,assembly_name,N/A,N/A,Genome Name,N/A,N/A,N/A,N/A,N/A,N/A,"['MIGS-VI', 'BV-BRC', 'Analysis', 'Workflows']",BVBRC,no example needed,change to BVBRC_genome_name,N/A,N/A,N/A,General Info,N/A,genome_name,string_ci,N/A,change name; keep private; compare to Organism Name from NCBI Virus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
publication_doi,Publication DOI,The DOI of the publication associated with the sequence.,keyword,N/A,associated_resource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['MIGS-VI', 'Organizational', 'Identifiers']",no source,needs curation before public; ,remove,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.1000/182,N/A
pubmed_accession,Pubmed Accession,The PubMed ID of publication associated with the sequence.,keyword,N/A,associated_resource,N/A,N/A,Publication,N/A,N/A,N/A,N/A,N/A,N/A,"['MIGS-VI', 'BV-BRC', 'Organizational', 'Identifiers']",BVBRC,needs curation before public; no example needed,N/A,N/A,N/A,N/A,DB Cross Reference,N/A,publication,string,N/A,multiple; to curate (compare with the number of pubs with ncbi virus),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
update_date,Update Date,Last update date of the sequence in BVBRC (whole entry).,date,N/A,N/A,N/A,N/A,Date Modified,N/A,N/A,N/A,N/A,N/A,N/A,"['BV-BRC', 'Organizational', 'Workflows']",BVBRC,N/A,update definition: last update date of the record in bvbrc),N/A,N/A,N/A,Additional Info,N/A,date_modified,pdate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-05-20,N/A
insert_size,Insert Size,Insert size for paired reads.,keyword,N/A,N/A,N/A,N/A,N/A,insert_size,insert_size,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,not sure,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Insert size for paired reads,N/A,N/A,(Optional) Insert size for paired reads,N/A,TEXT_FIELD,N/A,N/A
instrument,Instrument,Instrument model used for sequencing.,text,N/A,seq_meth,N/A,N/A,N/A,instrument_model,instrument_model,N/A,N/A,N/A,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Model of the sequencing instrument.,N/A,N/A,(Mandatory) Model of the sequencing instrument.,N/A,TEXT_CHOICE_FIELD,AB 310 Genetic Analyzer,N/A
library_construction_protocol,Library Construction Protocol,The protocol used to construct the sequencing library.,text,N/A,N/A,N/A,N/A,N/A,library_construction_protocol,library_construction_protocol,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,not sure,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Free form text describing the protocol by which the sequencing library was constructed.,N/A,N/A,(Optional) Free form text describing the protocol by which the sequencing library was constructed.,N/A,TEXT_FIELD,N/A,N/A
library_description,Library Description,The design of the sequencing library including details of how it was constructed.,text,N/A,N/A,N/A,N/A,N/A,design_description,design_description,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,not sure,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Goal and setup of the individual library including library was constructed.,N/A,N/A,(Optional) Goal and setup of the individual library including library was constructed.,N/A,TEXT_AREA_FIELD,N/A,N/A
library_layout,Library Layout,The sequencing library layout specifies whether to expect single or paired configuration of reads.,keyword,N/A,lib_layout,N/A,N/A,N/A,library_layout,library_layout,N/A,N/A,N/A,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Library_layout specifies whether to expect single, paired, or other configuration of reads. in the case of paired reads, information about the relative distance and orientation is specified.",N/A,N/A,"(Mandatory) Library_layout specifies whether to expect single, paired, or other configuration of reads. in the case of paired reads, information about the relative distance and orientation is specified.",N/A,TEXT_FIELD,SINGLE,N/A
library_name,Library Name,The name for the sequencing library if any.,text,N/A,N/A,N/A,N/A,N/A,library_name,library_name,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) The submitter's name for this library.,N/A,N/A,(Optional) The submitter's name for this library.,N/A,TEXT_FIELD,1111898265709,N/A
library_selection,Library Selection,"The method used to select for or against, enrich, or screen the material being sequenced.",keyword,N/A,lib_screen,N/A,N/A,N/A,library_selection,library_selection,N/A,N/A,N/A,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Method used to enrich the target in the sequence library preparation,N/A,N/A,(Mandatory) Method used to enrich the target in the sequence library preparation,N/A,TEXT_CHOICE_FIELD,unspecified; RANDOM,N/A
library_source,Library Source,The library source specifies the type of source material that is being sequenced.,keyword,N/A,N/A,N/A,N/A,N/A,library_source,library_source,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) The library_source specifies the type of source material that is being sequenced.,N/A,N/A,(Mandatory) The library_source specifies the type of source material that is being sequenced.,N/A,TEXT_CHOICE_FIELD,VIRAL RNA,N/A
library_strategy,Library Strategy,The sequencing technique intended for this sequencing library.,keyword,N/A,N/A,N/A,N/A,N/A,library_strategy,library_strategy,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Sequencing technique intended for this library.,N/A,N/A,(Mandatory) Sequencing technique intended for this library.,N/A,TEXT_CHOICE_FIELD,AMPLICON,N/A
virus_id,Virus ID,Unique ID given by the investigator as strain might not be unique.,keyword,SEQUENCE. SEQUENCING_ LAB_SAMPLE_ID maybe,N/A,N/A,N/A,N/A,virus identifier,virus identifier,N/A,N/A,N/A,N/A,"['ENA', 'RKI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Unique laboratory identifier assigned to the virus by the investigator. strain name is not sufficient since it might not be unique due to various passsages of the same virus. format: up to 50 alphanumeric characters,N/A,N/A,(Recommended) Unique laboratory identifier assigned to the virus by the investigator. strain name is not sufficient since it might not be unique due to various passsages of the same virus. format: up to 50 alphanumeric characters,N/A,TEXT_FIELD,N/A,N/A
