vjdbv0.3_field_id,vjdbv0.3_name,vjdbv0.3_description,vjdbv0.3_fields_type,vjdbv0.3_privacy,vjdbv0.2__field_id,vjdbv0.1_field_id,ena_field_id,rki_field_id,migs-vi_field_id,migs-uvig_field_id,env-o_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,ena_submission_object_object_name,vjbd_submission_object_object_name,vjdbv0.3_group1,vjdbv0.3_group2,vjdbv0.3_group3,vjdbv0.3_tags,vjdbv0.3_input_source,vjdbv0.3_notes,vjdbv0.3_changes,vjdbv0.2_previous_changes,ncbi_virus_n_field_name,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,ena_submission_requiredness,vjdb_submission_requiredness,vjdb_example,vjdb_validation_rules,ena_submission_fieldtype,ena_submission_validation,vjdbv0.3_field_index,ictv40_i_field_name,vjdbv0.3_index,vjdbv0.3_search_method,vjdbv0.3_default_search
collection_geo_location,Collection Geo Location,Country name and additional identifier like a state abbreviation from where the sample the sequence originates from was collected/sampled.,keyword,public,collection_geo_location,N/A,N/A,N/A,N/A,N/A,N/A,Geo_Location,Geographic Location,geographic location (region and locality),geographic location (region and locality),N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['NCBI Virus', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",NCBI Virus|BVBRC,shown until further revised; ,N/A,N/A,Geo Location,"The geographic location where the virus was isolated. NCBI Virus relies solely on the information provided by submitters, which may sometimes mistakenly identify regions where sequences were processed instead of the actual collection locations. The granularity of the information displayed in the column depends on the submitter. For example, it can be ""Australia: Heron Island, Great Barrier Reef"", or just ""China"". The country and other geographic location names are based on the INSDC Geographic Location list.",N/A,"split Geo_Location and compare to collection_country , ingest to collection_region and collection_city",Isolate Info,Isolation Metadata,geographic_location,string_ci,N/A,N/A,(Recommended) The geographical origin of the sample as defined by the specific region name followed by the locality name.,N/A,N/A,(Recommended) The geographical origin of the sample as defined by the specific region name followed by the locality name.,N/A,TEXT_FIELD,N/A,N/A,USA: NY ,"Defined list of countries, provided by the INSDC: State or similar closer region(!)",text,freetext,0ak,N/A,metadata,exact,N/A
host_natural_common_name,Host Common Name,"Common name of the host the virus sequence was collected from, e.g. human.",keyword,public,host_natural_common_name,N/A,host common name,N/A,N/A,N/A,N/A,Host,Host Common Name,host common name,host common name,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Host Taxonomy,N/A,"['ENA', 'NCBI Virus', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Host Taxonomy']",NCBI Virus|BVBRC,N/A,N/A,"Not in VJDB, Completly new due to byCovid",Host,"The host organism from which the virus was isolated. This is the submitter-provided host organism, not the full host range known for the virus. For more information, see Glossary: Host.",N/A,N/A,Host Info,N/A,host_common_name,string_ci,N/A,N/A,"(Mandatory) Common name of the host, e.g. human",N/A,N/A,"(Mandatory) Common name of the host, e.g. human",N/A,TEXT_FIELD,mandatory,mandatory,human,Free text,suggestion,freetext,0al,N/A,metadata,exact fuzzy,default search
sequence_length,Sequence Length,Length of the sequence in basepairs (bp) from NCBI Virus|BVBRC.,integer,public,sequence_length,sequence_length,N/A,N/A,N/A,N/A,N/A,Length,Size,N/A,N/A,sequence_length,sequence_length,sequence_length,N/A,N/A,N/A,Sample,Sequence,Workflows,"['NCBI Virus', 'BV-BRC', 'IMG/VR', 'PHD', 'PhiSpy', 'Sample', 'Sequence', 'Workflows']",NCBI Virus|BVBRC,Is sequence in the name needed? Length to generic -> Sequence Length (consideration for other data layers); ,N/A,N/A,Length,"Sequence length, the number of nucleotides or amino acids in the sequence.",N/A,N/A,Genome Statistics,Genome Statistics,genome_length,int,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10201,Integer value; Number of basepairs (bp)(!),text,unique,0am,N/A,metadata,range,N/A
molecule_type,Molecule Type,"Molecule type of the sequence, e.g. ssRNA. Note that there are 15 molecule types corresponding to combinations of the Baltimore Classifications.",keyword,public,molecule_type,molecule_type,molecule type,N/A,N/A,N/A,N/A,Molecule_type,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Virus Info,N/A,"['ENA', 'NCBI Virus', 'Sample', 'Virus Info']",NCBI Virus,Should be curated into Baltimore classes; Is this a sequence attribute or sample or both? Represent in naming?; ,N/A,N/A,Molecule Type,"Genome molecule type, type of viral nucleic acid, as provided by ICTV. For more information, see Glossary: Genome Molecule Type.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,optional,optional,ssRNA(+),Defined list of values(!),combo,controlled_vocabulary,0an,N/A,metadata,exact,N/A
sequence_completeness,Genome Completeness,Wether the sequence is a partial or complete sequence from NCBI.,keyword,public,sequence_completeness,genome_coverage,N/A,N/A,N/A,N/A,N/A,Nuc_Completeness,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Sequence,Workflows,"['NCBI Virus', 'Sample', 'Sequence', 'Workflows']",NCBI Virus,N/A,N/A,N/A,Nuc Completeness,"Indicates if the nucleotide sequence is complete or partial. Nucleotide sequences are considered complete, if they were submitted as such to GenBank or other INSDC databases. For more information, see Glossary: Nucleotide Completeness.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,partial; complete,"Is ""partial"" or ""complete""(!)",combo,controlled_vocabulary,0ao,N/A,metadata,exact fuzzy,N/A
sequence_completeness_percentage,Genome Completeness Percentage,The level of the sequence completeness compare to the representative sequence in refseq in percentage,float,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,N/A,Workflows,"['Sample', 'Workflows']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ap,N/A,metadata,range,N/A
organism_name,Organism Name,"GenBank organism name, a taxonomic name at species level or below the species level.",keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organism_Name,N/A,N/A,N/A,N/A,organism_name,N/A,N/A,N/A,N/A,Sample,Virus Info,N/A,"['NCBI Virus', 'PHD', 'Sample', 'Virus Info']",NCBI Virus,"technically sample species or below, take as it is until curation; ",sample_organism_name,N/A,Organism Name,"Gen Bank organism name, a taxonomic name at species level or below the species level.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),Free text; Should be species level or below(!),suggestion,freetext,0aq,N/A,metadata,full fuzzy,default search
submitter_organization,Submitter Organization,Organization the submitter(s) is(are) affiliated with.,keyword,public,submitter_organization,organization,N/A,N/A,N/A,N/A,N/A,Organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VJDB Study,Organizational,Submission,N/A,"['NCBI Virus', 'Organizational', 'VJDB Study', 'Submission']",NCBI Virus,N/A,N/A,N/A,Organization,"Organization or institution the sequence submitters affiliated with, as well as country or location of the organization.",N/A,may need to split Organization to submitter_region,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mandatory,"National Center for Biotechnology Information, NIH",Free text,text,freetext,0ar,N/A,metadata,full fuzzy,N/A
sequence_repository_release_date,Release Date,"Date when the sequence was made public in a repository (e.g. GenBank, BV-BRC).",date,public,sequence_repository_release_date,source_release_date,N/A,SEQUENCE. PUSHED_TO_DWH,N/A,N/A,N/A,Release_Date,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Sequence,N/A,"['RKI', 'NCBI Virus', 'Organizational', 'Sequence']",NCBI Virus,N/A,"update definition (genbank, bvbrc)",N/A,Release Date,The date when the sequence was released in the GenBank.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-05-20,"YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)",date,freetext,0as,N/A,metadata,range,N/A
sequence_segment_name,Segment Name,Name of the virus segment. Can be a number.,keyword,public,sequence_segment_name,segment_name,N/A,N/A,N/A,N/A,N/A,Segment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Sequence,N/A,"['NCBI Virus', 'Sample', 'Sequence']",NCBI Virus,N/A,N/A,N/A,Segment,"Segment name or number representing a genome segment. For more information, see Clossary: Segment.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,spike; 1; whole genome,Free text,text,freetext,0at,N/A,metadata,exact,N/A
sra_accession_id,SRA Accession,NCBI Sequence Read Archive (SRA) accession ID.,keyword,public,sra_accession_id,sra_accession,N/A,N/A,N/A,N/A,N/A,SRA_Accession,SRA Accession,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['NCBI Virus', 'BV-BRC', 'Organizational', 'Identifiers']",NCBI Virus|BVBRC,no example needed,N/A,N/A,SRA accession,NCBI Sequence Read Archive (SRA) accession number.,N/A,N/A,DB Cross Reference,N/A,sra_accession,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0au,N/A,metadata,exact,default search
submitter,Submitter,Submitter name(s) of the sequence.,keyword,public,submitter,submitter,N/A,N/A,N/A,N/A,N/A,Submitters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VJDB Study,Organizational,Submission,N/A,"['NCBI Virus', 'Organizational', 'VJDB Study', 'Submission']",NCBI Virus,N/A,N/A,N/A,Submitters,Authors who submitted the sequences.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mandatory,"Zuckerman,N., Mandelboim,M.",Free text,text,freetext,0av,N/A,metadata,exact fuzzy,N/A
collection_source_host_tissue,Collection Source Host Tissue,"Tissue, Specimen or Source of the host from which the sample the sequence originates from was collected or sampled.",keyword,public,collection_source_host_tissue,host_tissue,isolation source host-associated,SEQUENCE. SAMPLE_TYPE; different vocabulary,env_medium? more or less,N/A,N/A,Tissue_Specimen_Source,N/A,isolation source host-associated,isolation source host-associated,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'RKI', 'MIGS-VI', 'NCBI Virus', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",NCBI Virus,"Plan about sources and vocabularies, RKI different from ENA, what about NCBI and environmental, leave it like that for now with NCBi input; ",collection_source_host_associated,N/A,Tissue/Specimen Source,"Isolation source, part of the host organism, where the sample was obtained. For more information, see Glossary: Tissue/Specimen/Source.",N/A,split Tissue_Specimen_Source to collection_source_environment and collection_source_host_tissue,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Name of host tissue or organ sampled for analysis. example: tracheal tissue,N/A,N/A,(Recommended) Name of host tissue or organ sampled for analysis. example: tracheal tissue,N/A,TEXT_FIELD,recommended,recommended,brain; water; venom gland,Free text,combo,controlled_vocabulary,0aw,N/A,metadata,full fuzzy,N/A
ncbi_usa,NCBI USA,State/Region where the sample the sequence originates from was collected/sampled.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,USA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Collection,N/A,"['NCBI Virus', 'Sample', 'Collection']",NCBI Virus,"This is defined different from the duplicate below. Meaning for submission Tool was to have a geographical level higher than countries (continents). We keep it (mostly redundant), might be useful for later curation; ",collection_region,N/A,USA,"The name of US state, if sample was collected in USA.",N/A,concatenate to collection_region,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NY; FL,State abbreviation(!),combo,controlled_vocabulary,0ax,N/A,metadata,exact,N/A
analysis_accession_id,Analysis Accession,ENA analysis object accession ID.,keyword,internal,analysis_accession_id,N/A,analysis accession,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ENA Analysis,VJDB Analysis,Organizational,Identifiers,N/A,"['ENA', 'Organizational', 'ENA Analysis', 'VJDB Analysis', 'Identifiers']",N/A,no example needed,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,unique,0ay,N/A,metadata,exact,N/A
assembly_level,Assembly Level,"The level of the Assembly (contig, scaffold, chromosome, complete genome).",keyword,private,assembly_level,assembly_level,assembly level,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ENA Analysis,VJDB Analysis,Internal,N/A,Workflows,"['ENA', 'Internal', 'ENA Analysis', 'VJDB Analysis', 'Workflows']",N/A,"apply customization to vjdb , e.g. chromosome to genome or something; input not yet defined",keep internally,"Not public in VJDB, but is already in database",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,N/A,N/A,combo,controlled_vocabulary,0az,N/A,metadata,exact fuzzy,N/A
assembly_min_gap_length,Min Gap Length,Minimum length of consecutive Ns to be considered a gap.,integer,private,assembly_min_gap_length,N/A,assembly description,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ENA Analysis,VJDB Analysis,Internal,N/A,Workflows,"['ENA', 'Internal', 'ENA Analysis', 'VJDB Analysis', 'Workflows']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,N/A,text,freetext,0ba,N/A,metadata,range,N/A
assembly_program,Assembly Program,The program used for genome assembly.,keyword,private,assembly_program,assembler_software,assembly program,N/A,assembly_software,N/A,N/A,N/A,Assembly Method,N/A,N/A,N/A,N/A,N/A,N/A,ENA Analysis,VJDB Analysis,Internal,N/A,Workflows,"['ENA', 'MIGS-VI', 'BV-BRC', 'Internal', 'ENA Analysis', 'VJDB Analysis', 'Workflows']",BVBRC,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,Sequence Info,N/A,assembly_method,string_ci,N/A,not in the bvbrc api,N/A,N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,N/A,Free text,text,freetext,0bb,N/A,metadata,exact fuzzy,N/A
assembly_type,Assembly Type,Identifier on how to treat the submitted assembly. Currently only assemblies from ‘clone or isolate’ are permitted.,keyword,private,assembly_type,N/A,assembly_type,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ENA Analysis,VJDB Analysis,Internal,N/A,Workflows,"['ENA', 'Internal', 'ENA Analysis', 'VJDB Analysis', 'Workflows']",N/A,"for submission this is always ""clone or isolate""; ",keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,clone or isolate,"Defined list of values, for submissions it is always ""clone or isolate""(!)",combo,controlled_vocabulary,0bc,N/A,metadata,exact,N/A
bvbrc_accession_id,BV-BRC Accession,Accession of the sequence in the BV-BRC database.,keyword,public,bvbrc_accession_id,bvbrc_id,N/A,N/A,N/A,N/A,N/A,N/A,Genome ID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['BV-BRC', 'Organizational', 'Identifiers']",BVBRC,no example needed,Change id and name to BVBRC_genome_id,N/A,N/A,N/A,N/A,N/A,General Info,N/A,genome_id,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,unique,0bd,N/A,metadata,exact,default search
collecting_institute,Collecting Organization,Name of the institution/affiliation to which the person collecting the sample belongs,keyword,internal,collecting_institute,N/A,collecting institution,N/A,N/A,N/A,N/A,N/A,N/A,collecting institution,collecting institution,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,conform with submitter organization; not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Name of the institution to which the person collecting the specimen belongs. format: institute name, institute address",N/A,N/A,"(Mandatory) Name of the institution to which the person collecting the specimen belongs. format: institute name, institute address",N/A,TEXT_AREA_FIELD,mandatory,mandatory,N/A,Free text,text,freetext,0be,N/A,metadata,full fuzzy,N/A
